,Simulated_αA,Recovered_αA,Simulated_αAB,Recovered_αAB,Simulated_αABC,Recovered_αABC,Simulated_αR,Recovered_αR,Simulated_αB,Recovered_αB,Simulated_αC,Recovered_αC,Simulated_αBC,Recovered_αBC,Simulated_αG,Recovered_αG,Simulated_αH,Recovered_αH,Simulated_αJ,Recovered_αJ,Simulated_αK,Recovered_αK,Simulated_αJK,Recovered_αJK,Simulated_αT,Recovered_αT,Simulated_αTJK,Recovered_αTJ,Recovered_αTJK
18,0.5606721844255518,0.5607845323704905,0.7607087320574674,0.7607838969282931,0.47723646872088876,0.47712920416718185,0.8374846865297545,0.8372747614790398,0.27765018161304517,0.2776616959737545,0.824276130897456,0.8240729770075406,0.31801072114880874,0.3179741092377071,0.8275572991650021,0.8276665829960186,0.5360675668364149,0.5360857169887172,0.6966236553862247,0.6966671773593621,0.5470479994776891,0.5470349243434686,0.1371731358109191,0.13716788808823016,0.7007451279021459,0.7009320737321618,0.3080488215724957,0.44548502974374776,0.30814762165623233
19,0.4454469045304747,0.44543672770372333,0.7273206401436144,0.727410815990079,0.09679784658026866,0.09672290068933274,0.6175285740327031,0.617486343714218,0.17469222463054535,0.1746702394325335,0.695002372474019,0.6949333206976892,0.5634555577538809,0.5633915864264638,0.344408055629748,0.3444190491853973,0.16676538088331233,0.16676330863909897,0.3373152527736364,0.33755949455046197,0.3958845837598849,0.3958159360798094,0.9257346873864257,0.9255503365005324,0.14957673812388336,0.14960286459679759,0.38423537034193506,0.6024452079985713,0.3843764099280738
20,0.32519238806157347,0.3252212441626985,0.6395157886405269,0.639704986956315,0.8919566255640085,0.8919195544287708,0.19115444010682345,0.19125956432382585,0.6317808416545148,0.6317018684637848,0.33409176458690365,0.33421577099210725,0.1738796433828483,0.17383868019745366,0.6428013178015788,0.6425915999036405,0.4012067352208228,0.4009678979923782,0.6777069985129086,0.677764857336683,0.009263423306343195,0.009269255584635592,0.6469866326890937,0.6469757043789822,0.5053074524295509,0.5052848612165014,0.5597170227921452,0.4867476599653111,0.5597946603333686
21,0.5393822902450455,0.5396601506489613,0.759128608764137,0.7589243286654724,0.8187728409267708,0.8188450330623129,0.693237818783525,0.6932414552923124,0.6591702352686469,0.6591700814311705,0.13781042263149124,0.13774430017778247,0.35107358359843094,0.35115804311412946,0.7839938411235028,0.7842190449662901,0.0825589992124553,0.08256467805776233,0.13405835337092756,0.1341453297810923,0.7689589222884307,0.7689593330476499,0.4444455004289306,0.44437283580330894,0.80213455285174,0.8021932055099512,0.4017701474177934,0.3203068779511517,0.4018274051329671
22,0.6028068560914935,0.6028723883953323,0.4846998019987402,0.48463231306227633,0.35874535176991607,0.3586992200802055,0.3062963294989921,0.3063717950131646,0.6420052516207949,0.6421028182891884,0.4061166551980385,0.40604959664575346,0.4115371838683599,0.41155638113386533,0.21273013239051647,0.21262674849027452,0.31385128740726653,0.31385162547680745,0.20994873132487624,0.21000373331352828,0.050506237287812214,0.05049192415566356,0.6349919332673195,0.6345366919976873,0.8261134695669812,0.8258442350979622,0.7475064721342318,0.4802481394381228,0.7473284790694408
23,0.4219026343633459,0.4218490116403347,0.6471098077554309,0.6473437228017294,0.31238907868997523,0.31260055384403795,0.2563669807812835,0.2561666125054006,0.5976331957569092,0.5975376439875677,0.1590124283772678,0.15914998123585897,0.1678218093884822,0.1678811704511043,0.4373658781947696,0.4374042302982156,0.9059588241623399,0.9059835266525911,0.3275008548544348,0.32757795576441606,0.45558112322678385,0.45568262698135065,0.4059259024071454,0.4059072065653447,0.7502861657446079,0.750195672476958,0.18852172578420312,0.43633790709357856,0.18842172570114082
24,0.3560411295974465,0.35611761935687164,0.7271392693741834,0.7269210366476455,0.4601856961161766,0.4600717565936129,0.31887736059971616,0.3186326460473472,0.7700158910706443,0.7698824047522067,0.30132937547405186,0.3009779974559307,0.26913840013706414,0.2690882090778631,0.9054172201001052,0.90540161713996,0.25438667716123736,0.2541282402551405,0.4884432484621322,0.48847521053953324,0.07551291868071094,0.07550431934596384,0.5926733243188375,0.5926703773302561,0.3581057288797257,0.3581790805123834,0.09822426024449678,0.6524539166069036,0.09823108143486967
25,0.46324605918788775,0.46346271598360966,0.8361895128547615,0.8361468444980878,0.32981926829794583,0.32985064426515265,0.775978804304739,0.7760600224237224,0.4619919320039445,0.4619307705033563,0.5085111576133152,0.5085996788373538,0.4675588297297557,0.4676324897426965,0.7678014603640199,0.7677267005846481,0.33395780375437095,0.33388148512890603,0.5362234762956342,0.48449289823324326,0.8941787141613571,0.9228170218394952,0.0075317235731701855,0.007930037011142524,0.09011541108934393,0.09009443511266685,0.3777558508008428,0.7556616481537387,0.3994465415337721
26,0.800710864928426,0.8006452851253613,0.8018948416371519,0.801693272564422,0.2386741620548236,0.23870417593573798,0.18507867580236917,0.18506263596505487,0.4810631672822104,0.481220990385169,0.8876476792909103,0.8878605119944072,0.7234442000406077,0.7234311224432545,0.5124496559084494,0.5126658244655156,0.5122427526649275,0.5124058120710804,0.644124252885489,0.6440470580577504,0.05091003147126643,0.05088994501106028,0.4973146130913277,0.49707369904742355,0.8129850588632687,0.81315459251631,0.6838214015574358,0.22168438383327757,0.6837259723470487
27,0.6446757545407399,0.644718237370386,0.612258913678895,0.6121598275906716,0.8658894247795508,0.8658999151326473,0.461013967562714,0.46102928452883135,0.7742823999449654,0.7742617316159119,0.674230623707252,0.6744440518597488,0.8894137924060467,0.8895870241856678,0.6912550018622011,0.6918063369069894,0.7223145334670101,0.7228801497832547,0.6618362144673573,0.6620318106022779,0.9043282886132615,0.9043516214333256,0.7363861004789172,0.7363593534853902,0.5574464577125569,0.5574419132584338,0.9167473012924056,0.2554870547318366,0.9168073004311952
28,0.09080558059749251,0.09077500651684764,0.5607686998262962,0.5608904968203258,0.39005042371735327,0.3899799391550865,0.5727868686277222,0.5731327130655371,0.6303891262229016,0.6303931598797653,0.7672982887424169,0.7671896555420546,0.7445560101000945,0.7443392494495262,0.4881209280329404,0.4882998803816054,0.12687491675594528,0.12680107060777215,0.5230614394364211,0.5230331585796023,0.5169865529421556,0.5169099825025799,0.3382343882037357,0.33824326758977413,0.8448214524770891,0.8451174516385032,0.7521790142483499,0.4479226470624247,0.7522302753675275
