,mean,sd,hpd_3%,hpd_97%
αA_mean,0.33,0.034,0.262,0.39
αA_sd,0.24,0.024,0.196,0.285
αAB_mean,0.466,0.039,0.391,0.541
αAB_sd,0.269,0.029,0.213,0.321
αABC_mean,0.564,0.045,0.476,0.644
αABC_sd,0.321,0.033,0.263,0.383
αR_mean,0.49,0.039,0.418,0.561
αR_sd,0.282,0.029,0.229,0.335
αB_mean,0.727,0.028,0.676,0.779
αB_sd,0.193,0.02,0.161,0.235
αC_mean,0.751,0.031,0.699,0.818
αC_sd,0.205,0.021,0.166,0.244
αBC_mean,0.498,0.045,0.419,0.582
αBC_sd,0.33,0.034,0.269,0.398
αG_mean,0.601,0.04,0.524,0.674
αG_sd,0.285,0.029,0.231,0.338
αH_mean,0.622,0.034,0.56,0.684
αH_sd,0.235,0.023,0.191,0.277
αJ_mean,0.647,0.034,0.586,0.71
αJ_sd,0.244,0.025,0.201,0.293
αK_mean,0.674,0.04,0.604,0.755
αK_sd,0.279,0.028,0.228,0.331
αJK_mean,0.626,0.044,0.543,0.698
αJK_sd,0.315,0.033,0.256,0.376
αT_mean,0.458,0.038,0.389,0.532
αT_sd,0.27,0.029,0.215,0.323
αTJ_mean,0.592,0.028,0.536,0.64
αTJ_sd,0.199,0.02,0.161,0.236
αTJK_mean,0.442,0.051,0.357,0.541
αTJK_sd,0.357,0.037,0.292,0.428
αA[0],0.443,0.194,0.131,0.827
αA[1],0.49,0.193,0.134,0.81
αA[2],0.506,0.179,0.159,0.817
αA[3],0.358,0.22,0.031,0.753
αA[4],0.213,0.116,0.037,0.422
αA[5],0.5,0.176,0.187,0.813
αA[6],0.203,0.2,0.002,0.623
αA[7],0.374,0.145,0.115,0.629
αA[8],0.318,0.134,0.094,0.566
αA[9],0.515,0.177,0.175,0.808
αA[10],0.353,0.156,0.089,0.632
αA[11],0.089,0.065,0.009,0.202
αA[12],0.463,0.182,0.153,0.785
αA[13],0.076,0.05,0.01,0.174
αA[14],0.435,0.186,0.087,0.754
αA[15],0.499,0.167,0.215,0.808
αA[16],0.518,0.175,0.197,0.825
αA[17],0.184,0.092,0.041,0.354
αA[18],0.505,0.178,0.167,0.807
αA[19],0.041,0.043,0.003,0.104
αA[20],0.519,0.177,0.205,0.84
αA[21],0.469,0.177,0.171,0.795
αA[22],0.505,0.182,0.179,0.824
αA[23],0.398,0.143,0.156,0.669
αA[24],0.209,0.101,0.05,0.393
αA[25],0.503,0.173,0.171,0.793
αA[26],0.327,0.144,0.089,0.607
αA[27],0.515,0.169,0.204,0.811
αA[28],0.382,0.149,0.126,0.661
αA[29],0.041,0.044,0.002,0.114
αA[30],0.017,0.027,0.0,0.052
αA[31],0.108,0.062,0.017,0.221
αA[32],0.41,0.157,0.136,0.703
αA[33],0.04,0.04,0.002,0.107
αA[34],0.202,0.107,0.054,0.419
αA[35],0.174,0.117,0.017,0.399
αA[36],0.37,0.18,0.079,0.698
αA[37],0.26,0.133,0.045,0.492
αA[38],0.514,0.174,0.183,0.811
αA[39],0.022,0.026,0.0,0.068
αA[40],0.498,0.182,0.176,0.818
αA[41],0.52,0.174,0.215,0.845
αA[42],0.021,0.032,0.0,0.065
αA[43],0.403,0.156,0.13,0.667
αA[44],0.519,0.173,0.226,0.858
αA[45],0.148,0.084,0.02,0.294
αA[46],0.285,0.158,0.043,0.571
αA[47],0.46,0.169,0.154,0.747
αA[48],0.479,0.17,0.163,0.774
αA[49],0.506,0.177,0.202,0.828
αA[50],0.335,0.228,0.011,0.774
αA[51],0.088,0.046,0.019,0.17
αA[52],0.072,0.06,0.005,0.175
αA[53],0.287,0.133,0.07,0.531
αA[54],0.423,0.172,0.111,0.733
αA[55],0.498,0.171,0.164,0.784
αA[56],0.013,0.018,0.0,0.044
αA[57],0.516,0.174,0.187,0.816
αAB[0],0.428,0.156,0.14,0.707
αAB[1],0.663,0.153,0.403,0.934
αAB[2],0.701,0.139,0.459,0.941
αAB[3],0.667,0.157,0.375,0.927
αAB[4],0.336,0.091,0.173,0.508
αAB[5],0.673,0.137,0.411,0.889
αAB[6],0.243,0.068,0.126,0.374
αAB[7],0.685,0.143,0.44,0.936
αAB[8],0.783,0.153,0.492,0.982
αAB[9],0.706,0.153,0.378,0.907
αAB[10],0.545,0.183,0.195,0.843
αAB[11],0.569,0.172,0.25,0.854
αAB[12],0.091,0.042,0.026,0.167
αAB[13],0.537,0.152,0.278,0.809
αAB[14],0.128,0.059,0.032,0.228
αAB[15],0.736,0.148,0.469,0.957
αAB[16],0.604,0.134,0.356,0.848
αAB[17],0.562,0.149,0.296,0.843
αAB[18],0.619,0.157,0.337,0.908
αAB[19],0.13,0.053,0.039,0.223
αAB[20],0.697,0.142,0.422,0.928
αAB[21],0.623,0.156,0.354,0.916
αAB[22],0.64,0.159,0.318,0.883
αAB[23],0.687,0.143,0.418,0.915
αAB[24],0.719,0.154,0.431,0.952
αAB[25],0.199,0.067,0.088,0.328
αAB[26],0.069,0.055,0.006,0.168
αAB[27],0.692,0.15,0.404,0.928
αAB[28],0.479,0.141,0.233,0.746
αAB[29],0.182,0.083,0.041,0.327
αAB[30],0.595,0.157,0.317,0.88
αAB[31],0.029,0.032,0.001,0.081
αAB[32],0.358,0.104,0.178,0.561
αAB[33],0.174,0.075,0.047,0.312
αAB[34],0.168,0.069,0.049,0.291
αAB[35],0.436,0.134,0.177,0.659
αAB[36],0.245,0.078,0.109,0.386
αAB[37],0.055,0.04,0.007,0.135
αAB[38],0.609,0.146,0.354,0.882
αAB[39],0.098,0.065,0.012,0.213
αAB[40],0.165,0.078,0.043,0.317
αAB[41],0.556,0.121,0.332,0.765
αAB[42],0.2,0.066,0.091,0.325
αAB[43],0.591,0.174,0.286,0.903
αAB[44],0.703,0.184,0.357,0.978
αAB[45],0.52,0.154,0.245,0.814
αAB[46],0.719,0.139,0.46,0.926
αAB[47],0.662,0.169,0.359,0.939
αAB[48],0.664,0.145,0.394,0.912
αAB[49],0.672,0.141,0.426,0.912
αAB[50],0.65,0.182,0.327,0.948
αAB[51],0.503,0.124,0.29,0.743
αAB[52],0.339,0.133,0.114,0.582
αAB[53],0.479,0.115,0.285,0.707
αAB[54],0.378,0.083,0.231,0.53
αAB[55],0.102,0.047,0.027,0.19
αAB[56],0.301,0.075,0.17,0.438
αAB[57],0.69,0.143,0.427,0.922
αABC[0],0.818,0.135,0.556,0.987
αABC[1],0.807,0.151,0.526,0.994
αABC[2],0.791,0.153,0.507,0.994
αABC[3],0.034,0.011,0.017,0.054
αABC[4],0.715,0.166,0.401,0.969
αABC[5],0.807,0.158,0.492,0.998
αABC[6],0.045,0.01,0.028,0.064
αABC[7],0.775,0.149,0.495,0.985
αABC[8],0.836,0.136,0.576,0.992
αABC[9],0.814,0.152,0.532,0.996
αABC[10],0.432,0.214,0.075,0.808
αABC[11],0.019,0.025,0.0,0.054
αABC[12],0.055,0.011,0.036,0.075
αABC[13],0.54,0.137,0.311,0.806
αABC[14],0.503,0.257,0.062,0.919
αABC[15],0.799,0.145,0.538,0.988
αABC[16],0.71,0.167,0.403,0.964
αABC[17],0.617,0.17,0.321,0.921
αABC[18],0.733,0.168,0.424,0.974
αABC[19],0.521,0.244,0.087,0.906
αABC[20],0.626,0.136,0.376,0.884
αABC[21],0.77,0.16,0.463,0.986
αABC[22],0.065,0.012,0.043,0.088
αABC[23],0.572,0.119,0.359,0.79
αABC[24],0.653,0.157,0.354,0.904
αABC[25],0.84,0.141,0.572,0.993
αABC[26],0.634,0.207,0.26,0.961
αABC[27],0.825,0.138,0.572,0.992
αABC[28],0.81,0.151,0.51,0.987
αABC[29],0.483,0.259,0.071,0.919
αABC[30],0.083,0.015,0.058,0.112
αABC[31],0.485,0.261,0.072,0.937
αABC[32],0.712,0.193,0.361,0.983
αABC[33],0.446,0.256,0.026,0.867
αABC[34],0.473,0.235,0.052,0.862
αABC[35],0.649,0.207,0.281,0.963
αABC[36],0.125,0.024,0.081,0.171
αABC[37],0.495,0.181,0.168,0.799
αABC[38],0.789,0.154,0.483,0.988
αABC[39],0.512,0.251,0.1,0.942
αABC[40],0.447,0.255,0.029,0.873
αABC[41],0.812,0.147,0.536,0.991
αABC[42],0.101,0.038,0.042,0.174
αABC[43],0.625,0.174,0.309,0.93
αABC[44],0.807,0.154,0.495,0.987
αABC[45],0.834,0.14,0.574,0.997
αABC[46],0.862,0.128,0.6,0.993
αABC[47],0.791,0.162,0.461,0.989
αABC[48],0.713,0.166,0.407,0.971
αABC[49],0.816,0.144,0.535,0.992
αABC[50],0.468,0.201,0.092,0.815
αABC[51],0.402,0.181,0.094,0.735
αABC[52],0.246,0.239,0.002,0.747
αABC[53],0.625,0.225,0.214,0.974
αABC[54],0.764,0.165,0.467,0.989
αABC[55],0.029,0.011,0.012,0.051
αABC[56],0.218,0.043,0.139,0.3
αABC[57],0.627,0.173,0.323,0.922
αR[0],0.612,0.198,0.272,0.949
αR[1],0.601,0.199,0.262,0.934
αR[2],0.575,0.189,0.244,0.907
αR[3],0.531,0.23,0.132,0.914
αR[4],0.458,0.189,0.119,0.795
αR[5],0.597,0.194,0.265,0.946
αR[6],0.584,0.2,0.229,0.921
αR[7],0.577,0.193,0.254,0.934
αR[8],0.593,0.196,0.222,0.912
αR[9],0.62,0.192,0.272,0.939
αR[10],0.013,0.015,0.0,0.038
αR[11],0.03,0.013,0.01,0.053
αR[12],0.025,0.011,0.007,0.045
αR[13],0.548,0.205,0.152,0.882
αR[14],0.582,0.203,0.231,0.939
αR[15],0.619,0.19,0.28,0.939
αR[16],0.53,0.2,0.189,0.891
αR[17],0.578,0.2,0.197,0.894
αR[18],0.595,0.208,0.227,0.945
αR[19],0.037,0.015,0.012,0.063
αR[20],0.602,0.2,0.243,0.925
αR[21],0.587,0.213,0.222,0.938
αR[22],0.608,0.199,0.26,0.939
αR[23],0.609,0.204,0.229,0.942
αR[24],0.564,0.196,0.232,0.918
αR[25],0.568,0.2,0.218,0.918
αR[26],0.52,0.203,0.177,0.883
αR[27],0.605,0.196,0.237,0.925
αR[28],0.603,0.199,0.236,0.931
αR[29],0.162,0.152,0.008,0.461
αR[30],0.607,0.197,0.253,0.935
αR[31],0.619,0.188,0.302,0.94
αR[32],0.528,0.194,0.163,0.852
αR[33],0.012,0.01,0.001,0.029
αR[34],0.558,0.188,0.228,0.907
αR[35],0.463,0.224,0.098,0.872
αR[36],0.581,0.199,0.197,0.894
αR[37],0.507,0.192,0.172,0.867
αR[38],0.601,0.202,0.245,0.917
αR[39],0.053,0.019,0.023,0.087
αR[40],0.195,0.095,0.044,0.375
αR[41],0.609,0.2,0.258,0.935
αR[42],0.602,0.199,0.254,0.944
αR[43],0.568,0.213,0.216,0.942
αR[44],0.619,0.195,0.266,0.928
