,mean,sd,hpd_3%,hpd_97%
αG[32],0.535,0.181,0.183,0.844
αG[33],0.016,0.011,0.002,0.035
αG[34],0.573,0.191,0.247,0.904
αG[35],0.467,0.235,0.093,0.892
αG[36],0.615,0.201,0.231,0.922
αG[37],0.635,0.191,0.27,0.932
αG[38],0.629,0.188,0.285,0.949
αG[39],0.376,0.176,0.083,0.701
αG[40],0.585,0.184,0.246,0.882
αG[41],0.633,0.19,0.286,0.936
αG[42],0.621,0.188,0.305,0.956
αG[43],0.636,0.195,0.264,0.939
αG[44],0.635,0.185,0.295,0.943
αG[45],0.64,0.186,0.292,0.947
αG[46],0.634,0.189,0.285,0.943
αG[47],0.632,0.196,0.279,0.938
αG[48],0.601,0.187,0.281,0.936
αG[49],0.579,0.195,0.224,0.911
αG[50],0.013,0.009,0.002,0.03
αG[51],0.619,0.192,0.281,0.946
αG[52],0.074,0.03,0.028,0.126
αG[53],0.639,0.195,0.303,0.968
αG[54],0.625,0.191,0.296,0.958
αG[55],0.605,0.197,0.244,0.918
αG[56],0.603,0.208,0.225,0.942
αG[57],0.629,0.191,0.294,0.955
αH[0],0.632,0.196,0.272,0.953
αH[1],0.638,0.204,0.245,0.954
αH[2],0.628,0.192,0.3,0.94
αH[3],0.475,0.195,0.129,0.814
αH[4],0.407,0.16,0.138,0.707
αH[5],0.616,0.192,0.252,0.923
αH[6],0.59,0.207,0.223,0.946
αH[7],0.616,0.193,0.276,0.944
αH[8],0.636,0.195,0.283,0.955
αH[9],0.626,0.202,0.263,0.958
αH[10],0.016,0.009,0.004,0.032
αH[11],0.008,0.007,0.001,0.022
αH[12],0.59,0.199,0.239,0.922
αH[13],0.624,0.196,0.262,0.943
αH[14],0.614,0.192,0.26,0.921
αH[15],0.568,0.225,0.174,0.943
αH[16],0.625,0.196,0.285,0.939
αH[17],0.535,0.213,0.151,0.899
αH[18],0.599,0.187,0.244,0.914
αH[19],0.013,0.009,0.002,0.028
αH[20],0.629,0.199,0.296,0.96
αH[21],0.566,0.211,0.206,0.935
αH[22],0.271,0.132,0.077,0.546
αH[23],0.634,0.197,0.282,0.946
αH[24],0.587,0.197,0.22,0.91
αH[25],0.627,0.192,0.266,0.93
αH[26],0.54,0.199,0.169,0.874
αH[27],0.624,0.2,0.275,0.952
αH[28],0.637,0.192,0.294,0.954
αH[29],0.541,0.19,0.218,0.894
αH[30],0.603,0.208,0.232,0.955
αH[31],0.633,0.191,0.272,0.933
αH[32],0.514,0.18,0.178,0.811
αH[33],0.013,0.009,0.003,0.031
αH[34],0.524,0.205,0.149,0.865
αH[35],0.497,0.238,0.073,0.88
αH[36],0.609,0.2,0.251,0.936
αH[37],0.627,0.196,0.285,0.962
αH[38],0.628,0.194,0.274,0.945
αH[39],0.598,0.205,0.233,0.931
αH[40],0.019,0.01,0.005,0.036
αH[41],0.637,0.199,0.259,0.945
αH[42],0.613,0.198,0.251,0.934
αH[43],0.632,0.195,0.291,0.96
αH[44],0.619,0.193,0.256,0.931
αH[45],0.622,0.207,0.261,0.978
αH[46],0.637,0.192,0.281,0.933
αH[47],0.631,0.196,0.264,0.941
αH[48],0.613,0.198,0.27,0.94
αH[49],0.632,0.183,0.306,0.947
αH[50],0.141,0.057,0.047,0.242
αH[51],0.628,0.194,0.29,0.943
αH[52],0.008,0.007,0.001,0.02
αH[53],0.629,0.189,0.275,0.93
αH[54],0.621,0.192,0.276,0.938
αH[55],0.613,0.202,0.253,0.94
αH[56],0.608,0.198,0.239,0.933
αH[57],0.624,0.199,0.27,0.952
αJ[0],0.757,0.159,0.454,0.979
αJ[1],0.526,0.149,0.258,0.792
αJ[2],0.76,0.163,0.447,0.979
αJ[3],0.126,0.084,0.014,0.271
αJ[4],0.742,0.158,0.446,0.975
αJ[5],0.75,0.16,0.446,0.977
αJ[6],0.24,0.104,0.077,0.438
αJ[7],0.624,0.171,0.324,0.907
αJ[8],0.762,0.163,0.446,0.983
αJ[9],0.746,0.171,0.413,0.985
αJ[10],0.57,0.159,0.298,0.862
αJ[11],0.281,0.108,0.113,0.488
αJ[12],0.241,0.089,0.094,0.402
αJ[13],0.717,0.176,0.413,0.983
αJ[14],0.106,0.085,0.007,0.261
αJ[15],0.748,0.168,0.422,0.98
αJ[16],0.74,0.167,0.418,0.981
αJ[17],0.701,0.167,0.38,0.948
αJ[18],0.534,0.201,0.173,0.883
αJ[19],0.209,0.11,0.036,0.409
αJ[20],0.754,0.164,0.424,0.977
αJ[21],0.748,0.168,0.411,0.973
αJ[22],0.354,0.127,0.128,0.574
αJ[23],0.784,0.16,0.49,0.984
αJ[24],0.761,0.173,0.43,0.977
αJ[25],0.74,0.17,0.425,0.984
αJ[26],0.358,0.176,0.072,0.685
αJ[27],0.784,0.155,0.489,0.989
αJ[28],0.782,0.154,0.488,0.988
αJ[29],0.422,0.16,0.131,0.709
αJ[30],0.15,0.119,0.01,0.363
αJ[31],0.576,0.141,0.334,0.839
αJ[32],0.753,0.159,0.452,0.97
αJ[33],0.303,0.13,0.102,0.559
αJ[34],0.287,0.117,0.096,0.509
αJ[35],0.618,0.188,0.279,0.926
αJ[36],0.133,0.09,0.008,0.292
αJ[37],0.657,0.198,0.294,0.957
αJ[38],0.769,0.161,0.467,0.988
αJ[39],0.549,0.186,0.21,0.874
αJ[40],0.35,0.136,0.093,0.586
αJ[41],0.633,0.199,0.283,0.968
αJ[42],0.436,0.137,0.211,0.712
αJ[43],0.746,0.158,0.451,0.982
αJ[44],0.788,0.146,0.507,0.987
αJ[45],0.616,0.14,0.36,0.863
αJ[46],0.757,0.159,0.456,0.985
αJ[47],0.151,0.103,0.017,0.345
αJ[48],0.781,0.156,0.483,0.985
αJ[49],0.774,0.159,0.481,0.985
αJ[50],0.46,0.161,0.173,0.764
αJ[51],0.197,0.111,0.028,0.397
αJ[52],0.344,0.109,0.138,0.534
αJ[53],0.732,0.17,0.409,0.981
αJ[54],0.776,0.157,0.466,0.978
αJ[55],0.441,0.184,0.127,0.788
αJ[56],0.782,0.151,0.483,0.98
αJ[57],0.487,0.162,0.158,0.747
αK[0],0.526,0.127,0.298,0.755
αK[1],0.447,0.1,0.266,0.622
αK[2],0.525,0.15,0.271,0.801
αK[3],0.758,0.157,0.464,0.976
αK[4],0.732,0.151,0.473,0.973
αK[5],0.779,0.158,0.472,0.986
αK[6],0.303,0.07,0.177,0.431
αK[7],0.75,0.154,0.459,0.971
αK[8],0.775,0.154,0.48,0.981
αK[9],0.773,0.154,0.47,0.978
αK[10],0.056,0.009,0.039,0.073
αK[11],0.014,0.007,0.004,0.026
αK[12],0.783,0.156,0.477,0.988
αK[13],0.722,0.173,0.398,0.98
αK[14],0.041,0.012,0.023,0.066
αK[15],0.668,0.201,0.3,0.97
αK[16],0.707,0.164,0.385,0.956
αK[17],0.552,0.144,0.285,0.811
αK[18],0.593,0.147,0.338,0.878
αK[19],0.033,0.009,0.018,0.05
αK[20],0.385,0.103,0.204,0.566
αK[21],0.708,0.188,0.348,0.976
αK[22],0.679,0.204,0.298,0.977
αK[23],0.764,0.16,0.455,0.983
αK[24],0.686,0.161,0.385,0.933
αK[25],0.717,0.156,0.426,0.962
αK[26],0.555,0.132,0.315,0.79
αK[27],0.557,0.164,0.264,0.857
αK[28],0.249,0.068,0.126,0.365
αK[29],0.048,0.013,0.027,0.071
αK[30],0.364,0.136,0.13,0.611
αK[31],0.741,0.158,0.441,0.969
αK[32],0.64,0.153,0.343,0.892
