,mean,sd,hpd_3%,hpd_97%
α_mean,0.326,0.024,0.282,0.37
α_sd,0.172,0.018,0.141,0.207
α[0],0.349,0.036,0.284,0.415
α[1],0.503,0.076,0.345,0.629
α[2],0.344,0.035,0.279,0.408
α[3],0.639,0.101,0.455,0.82
α[4],0.368,0.053,0.279,0.477
α[5],0.33,0.04,0.253,0.402
α[6],0.618,0.072,0.48,0.744
α[7],0.331,0.039,0.262,0.403
α[8],0.322,0.033,0.262,0.386
α[9],0.388,0.049,0.292,0.472
α[10],0.044,0.015,0.019,0.073
α[11],0.042,0.007,0.029,0.056
α[12],0.173,0.052,0.082,0.269
α[13],0.284,0.031,0.223,0.337
α[14],0.539,0.095,0.368,0.711
α[15],0.417,0.047,0.326,0.501
α[16],0.424,0.05,0.339,0.522
α[17],0.256,0.027,0.209,0.308
α[18],0.498,0.052,0.397,0.593
α[19],0.02,0.007,0.008,0.033
α[20],0.352,0.04,0.275,0.428
α[21],0.299,0.033,0.244,0.364
α[22],0.244,0.04,0.168,0.318
α[23],0.363,0.043,0.288,0.452
α[24],0.34,0.043,0.263,0.42
α[25],0.431,0.046,0.347,0.517
α[26],0.458,0.078,0.314,0.608
α[27],0.314,0.031,0.259,0.375
α[28],0.32,0.03,0.26,0.374
α[29],0.116,0.014,0.09,0.142
α[30],0.276,0.065,0.159,0.391
α[31],0.11,0.014,0.085,0.137
α[32],0.31,0.034,0.253,0.377
α[33],0.008,0.006,0.001,0.017
α[34],0.476,0.068,0.353,0.607
α[35],0.287,0.056,0.186,0.385
α[36],0.553,0.108,0.367,0.781
α[37],0.392,0.054,0.287,0.488
α[38],0.305,0.03,0.247,0.359
α[39],0.051,0.017,0.023,0.084
α[40],0.089,0.016,0.06,0.119
α[41],0.352,0.043,0.274,0.436
α[42],0.66,0.104,0.46,0.837
α[43],0.28,0.028,0.229,0.334
α[44],0.377,0.041,0.299,0.453
α[45],0.326,0.038,0.253,0.39
α[46],0.325,0.036,0.262,0.392
α[47],0.376,0.049,0.282,0.462
α[48],0.352,0.042,0.276,0.432
α[49],0.331,0.038,0.263,0.404
α[50],0.068,0.021,0.032,0.106
α[51],0.583,0.074,0.443,0.719
α[52],0.033,0.01,0.017,0.051
α[53],0.569,0.087,0.414,0.73
α[54],0.284,0.036,0.221,0.354
α[55],0.424,0.068,0.298,0.537
α[56],0.297,0.031,0.242,0.356
α[57],0.365,0.04,0.29,0.44
