,mean,sd,hpd_3%,hpd_97%
αH[32],0.627,0.186,0.287,0.922
αH[33],0.557,0.222,0.162,0.931
αH[34],0.596,0.195,0.209,0.902
αH[35],0.606,0.213,0.236,0.953
αH[36],0.655,0.186,0.332,0.97
αH[37],0.653,0.194,0.314,0.976
αH[38],0.665,0.182,0.327,0.954
αH[39],0.66,0.188,0.319,0.962
αH[40],0.025,0.011,0.007,0.046
αH[41],0.664,0.183,0.326,0.96
αH[42],0.651,0.19,0.294,0.937
αH[43],0.665,0.191,0.33,0.961
αH[44],0.664,0.195,0.316,0.978
αH[45],0.66,0.189,0.327,0.97
αH[46],0.657,0.186,0.328,0.955
αH[47],0.663,0.181,0.351,0.959
αH[48],0.675,0.182,0.345,0.955
αH[49],0.664,0.181,0.327,0.943
αH[50],0.631,0.195,0.285,0.95
αH[51],0.661,0.181,0.331,0.96
αH[52],0.393,0.249,0.028,0.829
αH[53],0.675,0.185,0.33,0.955
αH[54],0.666,0.175,0.308,0.929
αH[55],0.654,0.189,0.307,0.958
αH[56],0.658,0.192,0.296,0.938
αH[57],0.668,0.187,0.332,0.954
αJ[0],0.105,0.099,0.002,0.286
αJ[1],0.2,0.103,0.042,0.399
αJ[2],0.11,0.099,0.005,0.296
αJ[3],0.205,0.087,0.063,0.365
αJ[4],0.158,0.1,0.017,0.335
αJ[5],0.103,0.093,0.005,0.265
αJ[6],0.313,0.094,0.157,0.502
αJ[7],0.087,0.077,0.003,0.232
αJ[8],0.087,0.086,0.002,0.247
αJ[9],0.096,0.088,0.004,0.264
αJ[10],0.267,0.082,0.127,0.419
αJ[11],0.204,0.108,0.047,0.408
αJ[12],0.126,0.086,0.013,0.292
αJ[13],0.086,0.086,0.002,0.236
αJ[14],0.133,0.07,0.03,0.259
αJ[15],0.124,0.1,0.009,0.316
αJ[16],0.251,0.107,0.077,0.46
αJ[17],0.087,0.082,0.004,0.238
αJ[18],0.356,0.097,0.173,0.531
αJ[19],0.202,0.122,0.029,0.433
αJ[20],0.09,0.082,0.003,0.238
αJ[21],0.106,0.09,0.005,0.275
αJ[22],0.201,0.076,0.079,0.345
αJ[23],0.102,0.095,0.005,0.287
αJ[24],0.217,0.111,0.049,0.423
αJ[25],0.242,0.105,0.074,0.432
αJ[26],0.366,0.11,0.162,0.552
αJ[27],0.111,0.102,0.007,0.301
αJ[28],0.124,0.098,0.007,0.296
αJ[29],0.21,0.123,0.032,0.444
αJ[30],0.187,0.103,0.046,0.391
αJ[31],0.107,0.093,0.005,0.285
αJ[32],0.095,0.087,0.006,0.254
αJ[33],0.218,0.115,0.043,0.439
αJ[34],0.198,0.109,0.04,0.403
αJ[35],0.222,0.107,0.057,0.413
αJ[36],0.206,0.089,0.066,0.371
αJ[37],0.135,0.102,0.014,0.349
αJ[38],0.08,0.08,0.001,0.225
αJ[39],0.231,0.131,0.046,0.493
αJ[40],0.214,0.084,0.071,0.361
αJ[41],0.097,0.088,0.003,0.269
αJ[42],0.408,0.115,0.204,0.617
αJ[43],0.097,0.091,0.003,0.259
αJ[44],0.124,0.097,0.009,0.308
αJ[45],0.099,0.089,0.005,0.276
αJ[46],0.089,0.081,0.001,0.242
αJ[47],0.065,0.078,0.001,0.19
αJ[48],0.128,0.103,0.009,0.325
αJ[49],0.124,0.098,0.007,0.302
αJ[50],0.169,0.082,0.047,0.336
αJ[51],0.307,0.084,0.158,0.462
αJ[52],0.206,0.116,0.032,0.423
αJ[53],0.186,0.105,0.026,0.383
αJ[54],0.105,0.097,0.004,0.277
αJ[55],0.214,0.105,0.054,0.423
αJ[56],0.133,0.108,0.008,0.333
αJ[57],0.075,0.077,0.001,0.212
αK[0],0.696,0.151,0.426,0.95
αK[1],0.715,0.158,0.42,0.955
αK[2],0.659,0.155,0.39,0.93
αK[3],0.802,0.146,0.524,0.992
αK[4],0.798,0.147,0.514,0.988
αK[5],0.811,0.145,0.537,0.989
αK[6],0.536,0.134,0.299,0.793
αK[7],0.801,0.145,0.512,0.986
αK[8],0.802,0.155,0.517,0.995
αK[9],0.823,0.144,0.549,0.99
αK[10],0.08,0.017,0.051,0.112
αK[11],0.028,0.018,0.004,0.059
αK[12],0.844,0.139,0.567,0.997
αK[13],0.791,0.163,0.464,0.99
αK[14],0.079,0.025,0.036,0.124
αK[15],0.743,0.171,0.414,0.985
αK[16],0.793,0.147,0.512,0.99
αK[17],0.756,0.153,0.484,0.983
αK[18],0.778,0.159,0.474,0.988
αK[19],0.472,0.272,0.029,0.907
αK[20],0.63,0.165,0.321,0.924
αK[21],0.748,0.178,0.4,0.984
αK[22],0.731,0.194,0.35,0.996
αK[23],0.809,0.153,0.508,0.991
αK[24],0.781,0.154,0.486,0.986
αK[25],0.795,0.16,0.475,0.99
αK[26],0.739,0.163,0.437,0.986
αK[27],0.754,0.165,0.433,0.971
αK[28],0.596,0.167,0.28,0.879
αK[29],0.63,0.212,0.263,0.964
αK[30],0.583,0.208,0.209,0.934
αK[31],0.825,0.139,0.548,0.991
αK[32],0.774,0.149,0.495,0.982
αK[33],0.559,0.23,0.152,0.945
αK[34],0.796,0.154,0.507,0.988
αK[35],0.76,0.166,0.46,0.996
αK[36],0.813,0.149,0.537,0.999
αK[37],0.817,0.148,0.534,0.99
αK[38],0.638,0.169,0.32,0.923
αK[39],0.674,0.198,0.322,0.976
αK[40],0.063,0.019,0.03,0.098
αK[41],0.683,0.164,0.375,0.944
αK[42],0.778,0.166,0.445,0.995
αK[43],0.792,0.16,0.487,0.992
αK[44],0.745,0.158,0.446,0.968
αK[45],0.804,0.148,0.536,0.989
αK[46],0.675,0.155,0.371,0.918
αK[47],0.808,0.143,0.538,0.983
αK[48],0.799,0.151,0.511,0.991
αK[49],0.816,0.144,0.54,0.993
αK[50],0.479,0.22,0.094,0.87
αK[51],0.775,0.15,0.477,0.981
αK[52],0.248,0.235,0.001,0.722
αK[53],0.799,0.152,0.503,0.991
αK[54],0.735,0.156,0.471,0.991
αK[55],0.752,0.173,0.411,0.977
αK[56],0.492,0.118,0.275,0.713
αK[57],0.803,0.145,0.524,0.988
αJK[0],0.784,0.148,0.507,0.986
αJK[1],0.618,0.133,0.372,0.843
αJK[2],0.72,0.162,0.406,0.96
αJK[3],0.736,0.167,0.422,0.98
αJK[4],0.791,0.155,0.49,0.996
αJK[5],0.747,0.158,0.444,0.979
αJK[6],0.734,0.142,0.471,0.96
αJK[7],0.811,0.152,0.515,0.989
αJK[8],0.78,0.157,0.473,0.987
αJK[9],0.75,0.147,0.459,0.962
αJK[10],0.577,0.172,0.229,0.859
αJK[11],0.09,0.028,0.046,0.145
αJK[12],0.774,0.168,0.472,0.987
αJK[13],0.751,0.167,0.447,0.977
αJK[14],0.185,0.073,0.076,0.332
αJK[15],0.473,0.152,0.187,0.735
αJK[16],0.77,0.142,0.534,0.982
αJK[17],0.832,0.148,0.536,0.993
αJK[18],0.698,0.152,0.408,0.947
αJK[19],0.02,0.013,0.004,0.043
αJK[20],0.685,0.152,0.397,0.923
αJK[21],0.779,0.176,0.422,0.991
αJK[22],0.657,0.206,0.306,0.979
αJK[23],0.831,0.143,0.545,0.992
αJK[24],0.772,0.164,0.468,0.992
αJK[25],0.838,0.132,0.582,0.996
αJK[26],0.809,0.159,0.489,0.993
αJK[27],0.784,0.15,0.506,0.99
αJK[28],0.327,0.074,0.183,0.452
αJK[29],0.022,0.02,0.002,0.055
αJK[30],0.757,0.19,0.396,0.993
αJK[31],0.686,0.155,0.404,0.933
αJK[32],0.724,0.141,0.452,0.945
αJK[33],0.047,0.02,0.017,0.082
αJK[34],0.62,0.165,0.321,0.904
αJK[35],0.552,0.244,0.138,0.969
αJK[36],0.675,0.153,0.366,0.911
αJK[37],0.675,0.144,0.41,0.932
αJK[38],0.39,0.092,0.235,0.57
αJK[39],0.021,0.021,0.001,0.055
αJK[40],0.424,0.15,0.147,0.69
αJK[41],0.661,0.176,0.327,0.938
αJK[42],0.353,0.195,0.043,0.703
αJK[43],0.508,0.143,0.261,0.77
αJK[44],0.738,0.128,0.499,0.949
αJK[45],0.756,0.164,0.427,0.989
αJK[46],0.736,0.142,0.492,0.976
αJK[47],0.753,0.153,0.474,0.974
αJK[48],0.75,0.149,0.475,0.972
αJK[49],0.792,0.163,0.479,0.992
αJK[50],0.61,0.178,0.278,0.913
αJK[51],0.8,0.151,0.498,0.983
αJK[52],0.04,0.016,0.015,0.07
αJK[53],0.829,0.147,0.529,0.996
αJK[54],0.73,0.138,0.47,0.956
αJK[55],0.122,0.017,0.09,0.154
αJK[56],0.755,0.15,0.486,0.98
αJK[57],0.851,0.132,0.571,0.996
αT[0],0.58,0.196,0.242,0.938
αT[1],0.075,0.064,0.004,0.186
αT[2],0.585,0.192,0.218,0.902
αT[3],0.548,0.203,0.194,0.906
αT[4],0.349,0.206,0.046,0.747
αT[5],0.57,0.198,0.216,0.916
αT[6],0.015,0.021,0.0,0.045
αT[7],0.507,0.188,0.202,0.86
αT[8],0.581,0.192,0.258,0.926
αT[9],0.554,0.203,0.202,0.909
αT[10],0.571,0.197,0.215,0.893
αT[11],0.083,0.06,0.008,0.189
αT[12],0.487,0.213,0.107,0.851
αT[13],0.549,0.195,0.165,0.85
αT[14],0.534,0.203,0.177,0.874
αT[15],0.579,0.194,0.223,0.896
αT[16],0.563,0.191,0.23,0.881
αT[17],0.456,0.206,0.123,0.828
αT[18],0.404,0.191,0.069,0.745
αT[19],0.284,0.183,0.016,0.62
αT[20],0.588,0.192,0.256,0.924
αT[21],0.566,0.19,0.242,0.906
αT[22],0.544,0.204,0.169,0.884
αT[23],0.584,0.193,0.237,0.904
αT[24],0.558,0.206,0.205,0.925
αT[25],0.546,0.202,0.192,0.896
αT[26],0.543,0.194,0.203,0.899
αT[27],0.585,0.195,0.238,0.902
αT[28],0.592,0.187,0.257,0.915
αT[29],0.446,0.189,0.146,0.817
αT[30],0.006,0.01,0.0,0.018
αT[31],0.331,0.181,0.04,0.651
αT[32],0.57,0.192,0.246,0.919
αT[33],0.331,0.185,0.048,0.687
αT[34],0.476,0.184,0.155,0.796
αT[35],0.377,0.213,0.035,0.767
αT[36],0.539,0.202,0.174,0.883
αT[37],0.581,0.19,0.216,0.888
αT[38],0.575,0.196,0.196,0.892
αT[39],0.077,0.063,0.005,0.194
αT[40],0.032,0.036,0.001,0.092
αT[41],0.572,0.193,0.206,0.895
αT[42],0.341,0.183,0.056,0.667
αT[43],0.53,0.203,0.169,0.887
αT[44],0.579,0.194,0.243,0.908
αT[45],0.436,0.17,0.111,0.727
αT[46],0.578,0.195,0.209,0.902
αT[47],0.564,0.201,0.192,0.897
αT[48],0.588,0.195,0.222,0.902
αT[49],0.58,0.2,0.213,0.911
αT[50],0.008,0.015,0.0,0.025
αT[51],0.393,0.243,0.014,0.811
αT[52],0.057,0.043,0.006,0.133
αT[53],0.578,0.194,0.244,0.921
αT[54],0.559,0.203,0.202,0.912
αT[55],0.561,0.192,0.189,0.854
αT[56],0.596,0.191,0.252,0.931
αT[57],0.573,0.197,0.209,0.908
αTJ[0],0.084,0.075,0.003,0.219
αTJ[1],0.179,0.096,0.035,0.362
αTJ[2],0.075,0.066,0.005,0.19
αTJ[3],0.403,0.083,0.241,0.553
αTJ[4],0.091,0.076,0.007,0.228
αTJ[5],0.069,0.066,0.005,0.181
αTJ[6],0.433,0.081,0.287,0.592
αTJ[7],0.088,0.073,0.005,0.213
αTJ[8],0.078,0.072,0.006,0.2
αTJ[9],0.079,0.066,0.006,0.199
αTJ[10],0.392,0.09,0.233,0.552
αTJ[11],0.329,0.108,0.153,0.549
αTJ[12],0.133,0.081,0.021,0.287
αTJ[13],0.076,0.071,0.004,0.19
αTJ[14],0.423,0.108,0.236,0.635
αTJ[15],0.105,0.086,0.007,0.264
αTJ[16],0.08,0.068,0.006,0.209
αTJ[17],0.077,0.067,0.005,0.187
αTJ[18],0.241,0.066,0.124,0.366
αTJ[19],0.189,0.096,0.036,0.366
αTJ[20],0.078,0.068,0.005,0.203
αTJ[21],0.067,0.059,0.003,0.174
αTJ[22],0.379,0.094,0.212,0.544
αTJ[23],0.078,0.064,0.007,0.205
αTJ[24],0.062,0.062,0.004,0.166
αTJ[25],0.079,0.069,0.004,0.206
αTJ[26],0.265,0.069,0.134,0.391
αTJ[27],0.074,0.068,0.003,0.187
αTJ[28],0.074,0.068,0.003,0.188
αTJ[29],0.184,0.1,0.032,0.378
αTJ[30],0.358,0.091,0.205,0.549
αTJ[31],0.163,0.09,0.035,0.331
αTJ[32],0.068,0.065,0.005,0.182
αTJ[33],0.165,0.096,0.022,0.342
αTJ[34],0.174,0.078,0.053,0.32
αTJ[35],0.16,0.081,0.043,0.31
αTJ[36],0.403,0.089,0.248,0.58
αTJ[37],0.132,0.077,0.021,0.274
αTJ[38],0.08,0.069,0.006,0.2
αTJ[39],0.093,0.085,0.004,0.252
αTJ[40],0.278,0.087,0.124,0.434
αTJ[41],0.097,0.066,0.012,0.215
αTJ[42],0.38,0.085,0.219,0.527
αTJ[43],0.073,0.066,0.005,0.196
αTJ[44],0.098,0.081,0.005,0.229
αTJ[45],0.088,0.071,0.007,0.212
αTJ[46],0.065,0.059,0.003,0.177
αTJ[47],0.161,0.082,0.034,0.306
αTJ[48],0.09,0.074,0.006,0.221
αTJ[49],0.077,0.072,0.003,0.211
αTJ[50],0.337,0.089,0.176,0.498
αTJ[51],0.445,0.088,0.272,0.599
αTJ[52],0.186,0.115,0.019,0.402
αTJ[53],0.084,0.071,0.006,0.207
αTJ[54],0.084,0.071,0.006,0.213
αTJ[55],0.129,0.083,0.012,0.271
αTJ[56],0.073,0.066,0.003,0.206
αTJ[57],0.143,0.085,0.026,0.298
αTJK[0],0.766,0.168,0.432,0.989
αTJK[1],0.619,0.196,0.284,0.953
αTJK[2],0.793,0.15,0.502,0.985
αTJK[3],0.418,0.177,0.1,0.72
αTJK[4],0.685,0.186,0.331,0.964
αTJK[5],0.758,0.159,0.457,0.975
αTJK[6],0.37,0.173,0.086,0.691
αTJK[7],0.691,0.153,0.41,0.929
αTJK[8],0.778,0.163,0.454,0.987
αTJK[9],0.773,0.162,0.46,0.985
αTJK[10],0.606,0.183,0.274,0.893
αTJK[11],0.021,0.021,0.001,0.058
αTJK[12],0.54,0.194,0.168,0.859
αTJK[13],0.75,0.161,0.451,0.977
αTJK[14],0.041,0.025,0.01,0.088
αTJK[15],0.8,0.146,0.525,0.988
αTJK[16],0.62,0.172,0.3,0.903
αTJK[17],0.753,0.168,0.434,0.986
αTJK[18],0.762,0.157,0.464,0.983
αTJK[19],0.525,0.246,0.123,0.931
αTJK[20],0.774,0.163,0.458,0.989
αTJK[21],0.75,0.155,0.468,0.972
αTJK[22],0.327,0.17,0.055,0.646
αTJK[23],0.763,0.16,0.445,0.976
αTJK[24],0.663,0.158,0.359,0.916
αTJK[25],0.744,0.164,0.444,0.989
αTJK[26],0.52,0.202,0.173,0.887
αTJK[27],0.784,0.158,0.482,0.992
αTJK[28],0.692,0.194,0.311,0.971
αTJK[29],0.581,0.225,0.188,0.952
αTJK[30],0.676,0.152,0.385,0.923
αTJK[31],0.559,0.223,0.153,0.92
αTJK[32],0.718,0.163,0.403,0.957
αTJK[33],0.594,0.213,0.202,0.927
αTJK[34],0.589,0.179,0.257,0.902
αTJK[35],0.741,0.167,0.439,0.985
αTJK[36],0.619,0.181,0.297,0.93
αTJK[37],0.702,0.182,0.374,0.963
αTJK[38],0.761,0.165,0.452,0.982
αTJK[39],0.59,0.221,0.222,0.974
αTJK[40],0.298,0.188,0.014,0.628
αTJK[41],0.811,0.144,0.536,0.992
αTJK[42],0.636,0.18,0.3,0.93
αTJK[43],0.734,0.173,0.402,0.982
αTJK[44],0.766,0.165,0.456,0.988
αTJK[45],0.619,0.148,0.353,0.879
αTJK[46],0.771,0.155,0.48,0.98
αTJK[47],0.761,0.165,0.45,0.987
αTJK[48],0.762,0.161,0.458,0.979
αTJK[49],0.765,0.148,0.494,0.974
αTJK[50],0.268,0.141,0.037,0.512
αTJK[51],0.688,0.156,0.373,0.93
αTJK[52],0.572,0.215,0.215,0.96
αTJK[53],0.774,0.168,0.43,0.986
αTJK[54],0.788,0.156,0.491,0.986
αTJK[55],0.42,0.188,0.095,0.762
αTJK[56],0.717,0.148,0.469,0.969
αTJK[57],0.772,0.167,0.449,0.989
