,Simulated_α,Recovered_α
0,0.8000247282133293,0.7999314115423712
1,0.3677304878638111,0.36773068568156664
2,0.8178092807078761,0.8178302409783609
3,0.21606687205197053,0.21614850693601062
4,0.6651916628301608,0.6651275029350924
5,0.787668395784779,0.7877993974442744
6,0.7150093758493473,0.7150858644782969
7,0.11206099270092376,0.11209677410848076
8,0.2837878821138922,0.28380515023702985
9,0.3516088143537927,0.351516406899477
10,0.5340829049602879,0.5341239100904771
11,0.2934706543509021,0.29342182400064126
12,0.436888389446463,0.4369585010973887
13,0.22886636318976808,0.22885351198777495
14,0.40976956326257935,0.4097783918763979
15,0.18951449522542427,0.18955138159689353
16,0.5326292038781261,0.5324888829700567
17,0.6932429983580155,0.6932690811788335
18,0.73208251457185,0.7320964696133747
19,0.6265006359271005,0.6264968686105804
20,0.8995581381466158,0.8995730242392567
21,0.6917010731672719,0.6917695215038355
22,0.47388220243823126,0.474035632466787
23,0.4235145293038974,0.42354412128067687
24,0.757957596158375,0.7578667673026852
25,0.08644770703797139,0.08640929255989077
26,0.21495378016470246,0.2151113483165916
27,0.28547714055759876,0.28551135554594087
28,0.3461410241336784,0.34606575994187194
29,0.35792188010538173,0.357850510988688
30,0.15089348206616468,0.1508149180861412
31,0.4077144634771056,0.40772557394538866
32,0.10852062323885027,0.10849821051736735
33,0.400074103185517,0.4000764760120234
34,0.44851845856514555,0.44852206580888804
35,0.5028997248236822,0.5028377334519422
36,0.6486790741429197,0.6487485014590153
37,0.11681923540152199,0.116827546906549
38,0.29002516094173997,0.29003626235882113
39,0.9616172493766633,0.9616442408657587
40,0.1490135511497992,0.14906097043235012
41,0.4747345857484327,0.47479805739733955
42,0.6306440936398957,0.6307101007132305
43,0.6176064390181164,0.61763025052645
44,0.12410241158622565,0.12413726159924636
45,0.5055819496905786,0.5055344842994862
46,0.7263876140160792,0.7263559147088182
47,0.16446942413897472,0.16451410664910504
48,0.2227686901241159,0.22269786524129623
49,0.2518560851416727,0.25184763751284833
50,0.23113494042779692,0.23114615932033872
51,0.8883358290791186,0.8882834215974977
52,0.5967203707696039,0.5967545566236777
53,0.14623577992116107,0.14618887298701355
54,0.47941754819850696,0.47939413470933184
55,0.25532114538461914,0.25536155857071824
56,0.8281056599121074,0.8280292715273371
57,0.38596828976721104,0.3859487781835044
