R2,Median
0.425721068,0.381368229
0.425059241,
0.443400023,
0.189479842,
0.403545145,
0.383912349,
0.307061951,
0.383538261,
0.401674941,
0.39386854,
-0.083720962,
-0.093844437,
0.138965781,
0.309132771,
0.112204135,
0.385251456,
0.461362113,
0.395253311,
0.443820801,
0.03259642,
0.383104633,
0.379631826,
0.111363133,
0.417321369,
0.340340454,
0.44759497,
0.422720294,
0.41470619,
0.448172274,
0.253844999,
0.107490074,
0.165961817,
0.46992189,
-0.053463661,
0.466985708,
0.223924832,
0.480703946,
0.369973285,
0.412792045,
0.034674696,
0.155443957,
0.378578042,
0.240260593,
0.40498113,
0.472633681,
0.308362883,
0.379297276,
0.441644915,
0.409611108,
0.385275629,
0.044012262,
0.286000935,
-0.049749286,
0.421637002,
0.276036423,
0.330701515,
0.288917823,
0.41396283,
