R2,Median
0.736305754,0.608622785
0.610794691,
0.81021047,
0.39746611,
0.647673853,
0.741726257,
0.475806988,
0.676643074,
0.793427483,
0.7225988,
0.186477098,
0.036266752,
0.407304717,
0.642996344,
0.362842343,
0.532112844,
0.637355066,
0.692277526,
0.463634843,
0.077409189,
0.672492818,
0.726806148,
0.3865843,
0.786043958,
0.603051906,
0.530008322,
0.534551288,
0.762693008,
0.660911901,
0.471563517,
0.322289765,
0.260939962,
0.762804435,
0.075778969,
0.511774499,
0.337455514,
0.556563506,
0.489580846,
0.760869848,
0.246003215,
0.287190185,
0.641885748,
0.381816178,
0.711647313,
0.74125739,
0.62744576,
0.774092013,
0.641567362,
0.70660187,
0.71377591,
0.280630818,
0.391095906,
-0.041486059,
0.617895599,
0.60645088,
0.494866872,
0.619233898,
0.727253458,
