,Simulated_αA,Recovered_αA,Simulated_αAB,Recovered_αAB,Simulated_αABC,Recovered_αABC,Simulated_αR,Recovered_αR,Simulated_αB,Recovered_αB,Simulated_αC,Recovered_αC,Simulated_αBC,Recovered_αBC,Simulated_αG,Recovered_αG,Simulated_αH,Recovered_αH,Simulated_αJ,Recovered_αJ,Simulated_αK,Recovered_αK,Simulated_αJK,Recovered_αJK,Simulated_αT,Recovered_αT,Simulated_αTJ,Recovered_αTJ,Simulated_αTJK,Recovered_αTJK
29,0.2483119396995527,0.24828352977129886,0.7014025975247801,0.7014987374396635,0.36814615162794057,0.36791167359164606,0.19399361570817464,0.1939950221492385,0.18490006212142654,0.18499505616786655,0.7815916724930295,0.7818311255226195,0.5698275529131857,0.5699625229919831,0.539405894268316,0.5393338473327457,0.09026968429109222,0.09030440609851222,0.9131383132712675,0.9130931364736729,0.24318291476875467,0.24322669485707277,0.5392924028799551,0.5393589638524258,0.43553819002381455,0.4354052326322451,0.273278645061426,0.2733303576359226,0.4365146474260678,0.4364485975158016
30,0.4236704272778766,0.4238707644357149,0.46805283864366265,0.46798949516148436,0.4900365354786101,0.4899843411738909,0.2498244152538209,0.2498517002881973,0.3505756683131108,0.35062521351345116,0.8214196646828396,0.8213053797758038,0.45118918012834064,0.45105891108858803,0.6042518946017316,0.6040747456983817,0.3702246504214108,0.37000697048701076,0.3747444589724443,0.37474814774506826,0.4545565326611754,0.45456070549207894,0.34898098163128227,0.34891901855068336,0.4351984326820829,0.4350405651440813,0.14596690750566638,0.14601808865319715,0.2149195030106893,0.21483304139713882
31,0.2467093523351852,0.24668226416209385,0.6552101545364962,0.6552722752207911,0.03495460428113262,0.034970323903775954,0.1942232624457438,0.1942336752542131,0.7804829699519338,0.7804639853449246,0.2986063220676859,0.2987032330698513,0.6406296591272148,0.6408282066293315,0.8740177176877496,0.873828727253206,0.6251360885923588,0.6249227984153967,0.47971582512350436,0.47982296626245735,0.39513425595877305,0.3951937559181923,0.28986659867243675,0.2898004883131688,0.4404842472799766,0.4405825231910423,0.5597646089182456,0.5597799401697774,0.5286083670660852,0.5287061864235771
32,0.4170647122530904,0.41718731408962145,0.8655172478679332,0.8655256065031486,0.4127483937332236,0.41283379514824603,0.6270181140264023,0.6270838698383148,0.10447728956487279,0.10442946150056465,0.6324924214720403,0.632491702744354,0.9349955852640471,0.9349879124492525,0.0042368538499062474,0.004230036191626429,0.6214875991809695,0.6046071951366148,0.3687832569049856,0.36878553037382794,0.22808977164592806,0.22793596566328353,0.40808237559355665,0.4081106142809694,0.24512297425872162,0.24504229917595322,0.24742987452006604,0.2474605067126898,0.558585493957421,0.5587133926879271
33,0.830779795487617,0.8306402850005897,0.6987502082751867,0.6989231676949919,0.8108566271046088,0.8109088688687579,0.4619679741838823,0.4622238978443646,0.47987474395254565,0.47978213517011975,0.27680810311708437,0.2768331090320539,0.7359308960656686,0.735817461179333,0.630183407782046,0.6303211822082098,0.5114920482068832,0.5116826214694665,0.2908180603393633,0.2906982622109372,0.7103368804872735,0.7104178847807684,0.22859725074638224,0.2285873595545565,0.4624985926735791,0.4624575415876732,0.8417483895589043,0.8417512738074533,0.8392387981538763,0.8391240607894493
34,0.2515782972239948,0.2515521318868818,0.6653061266835317,0.6654429231789444,0.6350333783299202,0.634872473468616,0.6602631218587754,0.6602806706047006,0.37286177843072077,0.3729264944355979,0.24868292899456138,0.24858256536477574,0.39803280974515715,0.39804832578940225,0.5773401419442634,0.5774139721780872,0.5881181389225678,0.5882568733320084,0.21534432143448304,0.21531364204492978,0.3572931112490493,0.3571738972475313,0.9025352762551283,0.9025535314726244,0.45336853289765505,0.45327740754355905,0.904666730112113,0.9046391593065141,0.022596833705788383,0.022580470336628036
35,0.41053847657713183,0.4105470230992562,0.7374898260882681,0.7373375916185952,0.379311788221663,0.37932584521545354,0.46007996528184825,0.46014580188630566,0.397634257071884,0.397482240642123,0.5198476293538111,0.5200005459540555,0.5896592774346492,0.5898002087586234,0.13391343226192368,0.13390206400605104,0.7942335610632985,0.7943235291070542,0.48034740338606136,0.4802881385795669,0.47716303117416686,0.47719487587755033,0.6924558196868811,0.6925703513241199,0.4956361320394302,0.49549520773398487,0.5475707019188528,0.5475471573317842,0.6167522956049251,0.6166630303611933
36,0.4966406405582497,0.4966588995207616,0.07722933293801908,0.07722687767135872,0.4103751073086111,0.4105309477905924,0.5843410605834733,0.5843236063914641,0.30938159688258093,0.3094370378085525,0.6738812383877745,0.6738517680926303,0.5553957272864163,0.5553892943266004,0.47361017311384707,0.47363453256218274,0.4796392566850072,0.47944410423438466,0.3062507323755123,0.30631649921117565,0.4031946939734831,0.40342716057906847,0.765279766018837,0.7656353070067233,0.869577998016574,0.8694394059966662,0.41003213462603433,0.4100164358269971,0.6915210068197543,0.6914957417762405
37,0.3310163197248184,0.33106531332633354,0.4572199819700174,0.4573243084023868,0.6902009169426013,0.6904577737533146,0.30332589383107106,0.3031087987990551,0.6043670672470196,0.6042446796881985,0.1977890678029138,0.19783469034088697,0.33487716282404767,0.334958004235161,0.5893243142405681,0.5895832847393443,0.6353546474555022,0.6355442937034872,0.8360175518733873,0.8363963525620176,0.4486594074887491,0.4484064724346473,0.07543366215314423,0.07537828325146936,0.5056026569690913,0.5057452996680842,0.5068516028822339,0.5066543446778902,0.6482034064001448,0.6484806777601957
38,0.7338544473103976,0.7338329929266741,0.25777483046281185,0.2577724053275603,0.3231155079440086,0.32316962485385065,0.32469407554623836,0.3246815254058198,0.3483201236554516,0.34837552449495685,0.333812823267756,0.3337286903962433,0.3042363559073522,0.30418412334364114,0.5557367359181398,0.5559208700541229,0.5685268332011628,0.5687913245975142,0.8163310484887768,0.8163447945459273,0.22179100210417405,0.22181340312094058,0.5838625513261532,0.5836160667705851,0.614313182899249,0.614159988430019,0.4523732718906919,0.4522772948059624,0.2312098566256092,0.2312419911247258
