,mean,sd,hpd_3%,hpd_97%
αMN[65],0.606,0.172,0.313,0.921
αMN[66],0.554,0.165,0.236,0.833
αU[0],0.061,0.046,0.005,0.144
αU[1],0.587,0.187,0.256,0.922
αU[2],0.025,0.028,0.001,0.071
αU[3],0.595,0.194,0.266,0.941
αU[4],0.501,0.193,0.148,0.833
αU[5],0.022,0.027,0.001,0.059
αU[6],0.019,0.022,0.0,0.052
αU[7],0.573,0.2,0.229,0.924
αU[8],0.6,0.191,0.248,0.915
αU[9],0.426,0.167,0.157,0.748
αU[10],0.005,0.009,0.0,0.016
αU[11],0.551,0.189,0.239,0.91
αU[12],0.412,0.157,0.115,0.675
αU[13],0.14,0.078,0.029,0.277
αU[14],0.569,0.209,0.216,0.943
αU[15],0.585,0.206,0.222,0.919
αU[16],0.599,0.194,0.232,0.911
αU[17],0.035,0.035,0.002,0.095
αU[18],0.494,0.202,0.139,0.853
αU[19],0.02,0.023,0.0,0.06
αU[20],0.604,0.195,0.267,0.928
αU[21],0.007,0.012,0.0,0.022
αU[22],0.606,0.196,0.236,0.931
αU[23],0.606,0.189,0.275,0.93
αU[24],0.258,0.115,0.071,0.476
αU[25],0.182,0.084,0.05,0.329
αU[26],0.561,0.21,0.198,0.924
αU[27],0.077,0.041,0.018,0.152
αU[28],0.007,0.012,0.0,0.02
αU[29],0.013,0.018,0.0,0.039
αU[30],0.579,0.197,0.245,0.929
αU[31],0.167,0.069,0.052,0.297
αU[32],0.048,0.033,0.004,0.104
αU[33],0.6,0.196,0.232,0.917
αU[34],0.399,0.184,0.087,0.722
αU[35],0.387,0.151,0.125,0.656
αU[36],0.595,0.191,0.264,0.932
αU[37],0.013,0.016,0.0,0.04
αU[38],0.603,0.191,0.275,0.938
αU[39],0.584,0.191,0.244,0.92
αU[40],0.554,0.204,0.213,0.909
αU[41],0.579,0.194,0.229,0.907
αU[42],0.004,0.006,0.0,0.013
αU[43],0.596,0.191,0.27,0.931
αU[44],0.548,0.193,0.197,0.882
αU[45],0.032,0.032,0.002,0.079
αU[46],0.594,0.189,0.238,0.902
αU[47],0.6,0.191,0.269,0.925
αU[48],0.51,0.199,0.148,0.863
αU[49],0.011,0.019,0.0,0.033
αU[50],0.016,0.021,0.0,0.052
αU[51],0.576,0.198,0.222,0.913
αU[52],0.564,0.205,0.199,0.902
αU[53],0.317,0.193,0.02,0.673
αU[54],0.581,0.184,0.256,0.906
αU[55],0.598,0.194,0.23,0.904
αU[56],0.601,0.193,0.239,0.926
αU[57],0.6,0.189,0.252,0.912
αU[58],0.085,0.048,0.017,0.168
αU[59],0.606,0.19,0.272,0.927
αU[60],0.559,0.199,0.194,0.872
αU[61],0.603,0.189,0.261,0.914
αU[62],0.593,0.195,0.243,0.922
αU[63],0.174,0.081,0.047,0.33
αU[64],0.592,0.197,0.253,0.936
αU[65],0.606,0.19,0.283,0.951
αU[66],0.509,0.184,0.171,0.832
αUM[0],0.164,0.099,0.025,0.362
αUM[1],0.611,0.117,0.398,0.827
αUM[2],0.107,0.088,0.006,0.262
αUM[3],0.722,0.138,0.464,0.934
αUM[4],0.515,0.158,0.233,0.808
αUM[5],0.563,0.154,0.27,0.828
αUM[6],0.527,0.198,0.203,0.907
αUM[7],0.75,0.146,0.473,0.972
αUM[8],0.751,0.137,0.504,0.975
αUM[9],0.621,0.132,0.384,0.855
αUM[10],0.093,0.071,0.007,0.219
αUM[11],0.131,0.092,0.019,0.314
αUM[12],0.415,0.126,0.187,0.642
αUM[13],0.234,0.099,0.07,0.415
αUM[14],0.748,0.143,0.464,0.952
αUM[15],0.485,0.124,0.254,0.714
αUM[16],0.361,0.092,0.201,0.536
αUM[17],0.279,0.166,0.029,0.599
αUM[18],0.139,0.088,0.018,0.307
αUM[19],0.436,0.171,0.143,0.762
αUM[20],0.54,0.176,0.218,0.847
αUM[21],0.371,0.152,0.089,0.626
αUM[22],0.734,0.153,0.463,0.974
αUM[23],0.492,0.123,0.286,0.735
αUM[24],0.483,0.112,0.27,0.698
αUM[25],0.353,0.132,0.141,0.62
αUM[26],0.233,0.101,0.066,0.431
αUM[27],0.108,0.093,0.004,0.274
αUM[28],0.11,0.078,0.008,0.261
αUM[29],0.069,0.069,0.003,0.188
αUM[30],0.75,0.138,0.5,0.972
αUM[31],0.296,0.122,0.099,0.53
αUM[32],0.11,0.092,0.008,0.275
αUM[33],0.753,0.137,0.496,0.963
αUM[34],0.364,0.156,0.073,0.646
αUM[35],0.48,0.116,0.271,0.71
αUM[36],0.737,0.145,0.468,0.952
αUM[37],0.2,0.11,0.032,0.398
αUM[38],0.775,0.144,0.508,0.979
αUM[39],0.08,0.07,0.005,0.212
αUM[40],0.706,0.145,0.453,0.956
αUM[41],0.209,0.083,0.082,0.372
αUM[42],0.108,0.078,0.015,0.258
αUM[43],0.75,0.134,0.505,0.955
αUM[44],0.569,0.182,0.235,0.896
αUM[45],0.347,0.145,0.108,0.631
αUM[46],0.672,0.192,0.327,0.965
αUM[47],0.744,0.152,0.468,0.966
αUM[48],0.697,0.148,0.425,0.947
αUM[49],0.305,0.103,0.121,0.511
αUM[50],0.123,0.097,0.005,0.308
αUM[51],0.739,0.143,0.477,0.963
αUM[52],0.714,0.141,0.439,0.935
αUM[53],0.476,0.124,0.256,0.709
αUM[54],0.747,0.14,0.486,0.958
αUM[55],0.548,0.178,0.232,0.884
αUM[56],0.747,0.143,0.479,0.96
αUM[57],0.75,0.137,0.497,0.956
αUM[58],0.097,0.091,0.004,0.268
αUM[59],0.733,0.146,0.472,0.959
αUM[60],0.514,0.115,0.295,0.732
αUM[61],0.066,0.067,0.001,0.178
αUM[62],0.668,0.182,0.333,0.962
αUM[63],0.455,0.142,0.208,0.732
αUM[64],0.587,0.121,0.357,0.798
αUM[65],0.732,0.148,0.449,0.957
αUM[66],0.272,0.104,0.095,0.465
αUMN[0],0.013,0.01,0.001,0.03
αUMN[1],0.77,0.18,0.43,0.994
αUMN[2],0.101,0.023,0.062,0.144
αUMN[3],0.768,0.144,0.505,0.976
αUMN[4],0.235,0.142,0.035,0.511
αUMN[5],0.898,0.106,0.688,0.996
αUMN[6],0.063,0.046,0.009,0.15
αUMN[7],0.739,0.154,0.457,0.97
αUMN[8],0.801,0.144,0.524,0.982
αUMN[9],0.722,0.15,0.458,0.97
αUMN[10],0.563,0.213,0.192,0.93
αUMN[11],0.721,0.164,0.405,0.953
αUMN[12],0.741,0.163,0.444,0.985
αUMN[13],0.106,0.024,0.062,0.147
αUMN[14],0.82,0.137,0.552,0.989
αUMN[15],0.111,0.019,0.078,0.146
αUMN[16],0.556,0.166,0.237,0.851
αUMN[17],0.032,0.021,0.007,0.072
αUMN[18],0.58,0.211,0.191,0.916
αUMN[19],0.013,0.009,0.003,0.028
αUMN[20],0.776,0.143,0.516,0.98
αUMN[21],0.662,0.21,0.28,0.986
αUMN[22],0.799,0.143,0.516,0.982
αUMN[23],0.753,0.156,0.468,0.982
αUMN[24],0.647,0.14,0.357,0.862
αUMN[25],0.239,0.058,0.142,0.35
αUMN[26],0.36,0.168,0.066,0.661
αUMN[27],0.599,0.202,0.209,0.911
αUMN[28],0.54,0.248,0.114,0.957
αUMN[29],0.758,0.174,0.43,0.989
αUMN[30],0.769,0.147,0.469,0.97
αUMN[31],0.246,0.066,0.128,0.363
αUMN[32],0.582,0.255,0.144,0.985
αUMN[33],0.761,0.155,0.473,0.975
αUMN[34],0.007,0.008,0.0,0.02
αUMN[35],0.449,0.104,0.281,0.662
αUMN[36],0.763,0.145,0.49,0.975
αUMN[37],0.082,0.022,0.044,0.126
αUMN[38],0.812,0.139,0.558,0.993
αUMN[39],0.644,0.184,0.299,0.943
αUMN[40],0.787,0.154,0.495,0.986
αUMN[41],0.718,0.186,0.37,0.984
αUMN[42],0.608,0.213,0.218,0.938
αUMN[43],0.806,0.143,0.55,0.987
αUMN[44],0.638,0.217,0.261,0.968
αUMN[45],0.028,0.009,0.013,0.045
αUMN[46],0.785,0.135,0.501,0.967
αUMN[47],0.816,0.138,0.563,0.988
αUMN[48],0.754,0.166,0.433,0.984
