,mean,sd,hpd_3%,hpd_97%
αE[12],0.302,0.163,0.041,0.588
αE[13],0.098,0.026,0.051,0.143
αE[14],0.57,0.197,0.202,0.913
αE[15],0.537,0.197,0.167,0.864
αE[16],0.553,0.183,0.251,0.901
αE[17],0.048,0.023,0.013,0.087
αE[18],0.61,0.185,0.279,0.92
αE[19],0.549,0.184,0.182,0.854
αE[20],0.347,0.116,0.134,0.553
αE[21],0.072,0.024,0.033,0.113
αE[22],0.641,0.169,0.337,0.923
αE[23],0.629,0.172,0.329,0.918
αE[24],0.126,0.035,0.063,0.189
αE[25],0.122,0.034,0.061,0.184
αE[26],0.571,0.195,0.206,0.886
αE[27],0.076,0.031,0.03,0.133
αE[28],0.123,0.042,0.056,0.202
αE[29],0.585,0.181,0.256,0.894
αE[30],0.633,0.165,0.32,0.904
αE[31],0.303,0.133,0.092,0.57
αE[32],0.049,0.021,0.016,0.083
αE[33],0.35,0.106,0.169,0.555
αE[34],0.01,0.013,0.0,0.03
αE[35],0.595,0.169,0.28,0.89
αE[36],0.658,0.16,0.371,0.935
αE[37],0.13,0.035,0.07,0.199
αE[38],0.522,0.173,0.224,0.829
αE[39],0.228,0.087,0.085,0.407
αE[40],0.197,0.061,0.095,0.309
αE[41],0.655,0.162,0.35,0.928
αE[42],0.205,0.084,0.07,0.366
αE[43],0.564,0.163,0.28,0.871
αE[44],0.057,0.027,0.019,0.109
αE[45],0.083,0.026,0.038,0.128
αE[46],0.478,0.191,0.13,0.805
αE[47],0.566,0.187,0.207,0.871
αE[48],0.639,0.163,0.333,0.903
αE[49],0.379,0.193,0.073,0.739
αE[50],0.024,0.018,0.003,0.058
αE[51],0.142,0.045,0.067,0.223
αE[52],0.395,0.131,0.161,0.629
αE[53],0.325,0.142,0.078,0.575
αE[54],0.633,0.169,0.319,0.917
αE[55],0.133,0.037,0.067,0.201
αE[56],0.654,0.167,0.345,0.93
αE[57],0.557,0.203,0.199,0.911
αE[58],0.517,0.211,0.146,0.888
αE[59],0.6,0.163,0.293,0.865
αE[60],0.641,0.157,0.343,0.894
αE[61],0.138,0.042,0.069,0.22
αE[62],0.158,0.038,0.094,0.234
αE[63],0.312,0.179,0.035,0.647
αE[64],0.643,0.164,0.338,0.917
αE[65],0.598,0.171,0.313,0.924
αE[66],0.609,0.184,0.261,0.908
αF[0],0.386,0.14,0.141,0.636
αF[1],0.745,0.153,0.461,0.976
αF[2],0.077,0.02,0.042,0.114
αF[3],0.677,0.217,0.246,0.975
αF[4],0.125,0.065,0.022,0.244
αF[5],0.745,0.142,0.48,0.963
αF[6],0.115,0.049,0.045,0.222
αF[7],0.809,0.138,0.547,0.99
αF[8],0.357,0.154,0.114,0.653
αF[9],0.124,0.064,0.033,0.252
αF[10],0.167,0.135,0.007,0.421
αF[11],0.359,0.122,0.157,0.597
