R2,Median
0.035918683,0.382990274
0.350500147,
-0.497846275,
0.506655574,
0.27295209,
0.062395508,
-0.009265797,
0.488257419,
0.497753338,
0.357910823,
0.199415945,
0.549439764,
0.31804923,
0.375138518,
0.413161235,
0.348281136,
0.446282669,
-0.006873333,
0.350315607,
-0.019828019,
0.520683479,
-0.00596046,
0.495823221,
0.444870667,
0.431944233,
0.417388075,
0.358957614,
-0.00581026,
-1.396321179,
-0.121912429,
0.514546559,
0.519166421,
0.025565842,
0.388396788,
-0.349883409,
0.527507806,
0.46405522,
0.188922292,
0.496363748,
0.454848531,
0.46189871,
0.382990274,
-0.320783634,
0.521693138,
0.208252513,
0.030442406,
0.498828869,
0.504412343,
0.22800524,
0.056692942,
-0.030615357,
0.453648418,
0.507124178,
0.453398903,
0.518357994,
-0.010804449,
0.512987397,
0.490123704,
0.028977583,
0.487723314,
0.525083354,
0.377482645,
0.332834775,
0.319432594,
0.529055107,
0.503417132,
0.580655619,
