,Simulated_αD,Recovered_αD,Simulated_αDE,Recovered_αDE,Simulated_αDEF,Recovered_αDEF,Simulated_αS,Recovered_αS,Simulated_αE,Recovered_αE,Simulated_αF,Recovered_αF,Simulated_αEF,Recovered_αEF,Simulated_αG,Recovered_αG,Simulated_αH,Recovered_αH,Simulated_αM,Recovered_αM,Simulated_αN,Recovered_αN,Simulated_αMN,Recovered_αMN,Simulated_αU,Recovered_αU,Simulated_αUMN,Recovered_αUM,Recovered_αUMN
0,0.4314907703452592,0.4314006903015256,0.6162454607109443,0.6162346929185328,0.656908487041003,0.6568033199168785,0.4123899370559346,0.4123319952006939,0.3949373922470274,0.3947650244285933,0.5978901111700025,0.597760409585194,0.6944166497174254,0.6945219954747307,0.7925646550840696,0.7922763510731329,0.7581050504537672,0.7582130094430531,0.3914272734179641,0.3911690298978585,0.1875441286768596,0.18750968883849453,0.19635455248459371,0.1963122830003762,0.2359649575493272,0.23616992391471703,0.8459882764188156,0.41923238026117987,0.8460108056699966
1,0.39312609447943214,0.3932329512742153,0.7001604801447326,0.6999294670179913,0.5304478044008932,0.5305859309294833,0.7917021486075365,0.7917144306463622,0.735963225751369,0.7361733690232983,0.8863097991950581,0.8862650692112412,0.634306406711844,0.6341337310990678,0.5668706770023715,0.5669039481228696,0.4846382059965999,0.48470475483670733,0.5683024872246473,0.5681312282569534,0.21776211909727733,0.21762759437368603,0.522426208195162,0.522449481030237,0.24563684059203011,0.24550849296082447,0.3381256406751868,0.5613126524542751,0.3380573376482335
2,0.5864040182631662,0.5862261955133448,0.08422112358322244,0.08417132790326427,0.8433905039960021,0.8435654792010793,0.8913250996358586,0.8914013246779999,0.49629426796633835,0.496250055998365,0.38856826073837436,0.38855622047239685,0.7220668090774419,0.7219601534266878,0.8685026660072025,0.8684884963344598,0.8522788342387851,0.8521900790103945,0.5151346757665577,0.5149765541199942,0.7429804012660615,0.7431850422618834,0.32308907861456365,0.32320521592694224,0.6027532107161465,0.6028510747105161,0.508359440157464,0.40298567072120056,0.50844262913691
3,0.84195603443203,0.841797555697573,0.1605466788414203,0.16057229306874543,0.6219797249758804,0.6220302858187257,0.6579875787516035,0.6580966578938128,0.28918231927579324,0.28914925079899256,0.8482300079895803,0.8482336152710012,0.8294383276572114,0.8294945215995614,0.6229704613684504,0.6227093635114247,0.7069928119715472,0.70700000642624,0.4738117822227749,0.4739641054169754,0.35586732432119933,0.3558686348862834,0.5237395685695883,0.5236353985870217,0.4263208050692919,0.4265503461727838,0.48459469488454165,0.49944973987165986,0.48460697754504617
4,0.4683941645062175,0.4685843447200018,0.09515867632879624,0.09512943284304598,0.16912862767885992,0.169223970077767,0.7369538517647192,0.7373500732213237,0.8346189967154597,0.8344346612470768,0.31590223878412704,0.31598221030103,0.7985085348170518,0.7985071726986327,0.598625146351925,0.5988988167533363,0.46514196874907965,0.46522089921189447,0.2731345863177664,0.27330322144239844,0.36575606157281715,0.3657210279509383,0.1725711815789791,0.17250025578368988,0.2895258866153908,0.28937178051862444,0.4212662869869624,0.43649014011326204,0.42118189899794317
5,0.7790573678176373,0.7791494338764606,0.6717102464992322,0.6717039641800251,0.6676574700624176,0.6675511510728644,0.33155732602968324,0.3315523206948637,0.4551066087206709,0.4550258150543265,0.3408589752074647,0.3410450838968339,0.9126155178083032,0.9128378406507052,0.45509897394882526,0.4549509679357719,0.30322583676118303,0.30328320161985706,0.5607667601545963,0.560733411135333,0.627227020809194,0.6273043176067378,0.5750833441508628,0.5752734434353349,0.11499564350685713,0.11504775171619837,0.14570843468819963,0.5150919842392541,0.14566006616730484
6,0.42313392895907587,0.42317127104165597,0.2463048875715197,0.24629537109024124,0.5340427712977798,0.5340488523360999,0.9234503924062176,0.923270256756285,0.2788277112917656,0.2789262141345547,0.15047219099136772,0.15043845722011137,0.18739819603553243,0.18728333736493782,0.7310117067910633,0.7308577501847513,0.6698739950441261,0.66974562899341,0.3962140202559948,0.39629072662693177,0.7133575816388723,0.7133585467404663,0.601502241260021,0.6015304902930583,0.7457192058366185,0.7455859429424018,0.7293859047729736,0.5568997619304227,0.7293416836635714
7,0.32700210039631533,0.32707555444632724,0.5226491777867797,0.5225509657643912,0.6648984167606169,0.6650618976470785,0.9094181151277189,0.9093648936810194,0.9183059608694633,0.918495330571981,0.28620492693899624,0.28608527139466494,0.1534178122505819,0.15339564612957443,0.7363336651881773,0.73640136617503,0.6844770022379796,0.6844663945479703,0.8550980233876581,0.8551060592093476,0.5565746273460849,0.5566249695327643,0.841267021636433,0.8412634728044504,0.431628402584018,0.43165822687455746,0.23566733510323304,0.2953554002843588,0.23563054222893953
8,0.530937861489465,0.5309784077653477,0.26888801067405155,0.2687306466712282,0.4551525699662449,0.45500297397583545,0.29237382186427674,0.29252548297380265,0.3719368110627838,0.3718777390934631,0.3222665390434817,0.322190256588465,0.5729103886561017,0.5729565522821976,0.501913739427715,0.5019591929537789,0.4349146866422129,0.4351237156322356,0.6567363996666139,0.6565575471853241,0.8388051508939957,0.8388118287663633,0.3198520370157691,0.319803270323476,0.239009975266802,0.23880009968885765,0.5242005137309153,0.5070680654169355,0.5241865733078342
9,0.08579459185433097,0.08579406689530816,0.38683826900411317,0.3867867375078214,0.41697811801727047,0.41682257856681854,0.5473586708629823,0.5475499578876228,0.5869024826897016,0.586674177206657,0.15841020499869862,0.15839935295532437,0.6020544909612291,0.602194735020445,0.8884623379980563,0.8883891507778772,0.5658876934905646,0.5659723466535358,0.4668116864783947,0.46665990043022065,0.1798541164561124,0.17984704643538396,0.30000920574409906,0.3001717448338613,0.5130230207343708,0.5129016908188194,0.5013984602350328,0.4492928074269303,0.5013358466107634
