ID,Stimulus,trialseq,DV,R,s,T,u,R_abs,T_abs,US,Test
102,s,16,3.744855967,0,1,0,0,1,0,1,1
102,s,17,3.855967078,0,1,0,0,1,0,0,1
102,s,18,3.613168724,0,1,0,0,1,0,0,1
102,Rs,19,2.518518519,1,1,0,0,0,0,1,1
102,Rs,20,2.185185185,1,1,0,0,0,0,1,1
102,Rs,21,1.958847737,1,1,0,0,0,0,1,1
102,Rs,22,1.588477366,1,1,0,0,0,0,1,1
102,s,23,1.209876543,0,1,0,0,1,0,0,1
102,s,24,1.604938272,0,1,0,0,1,0,0,1
102,Tu,25,2.131687243,0,0,1,1,0,0,0,1
102,Tu,26,2.465020576,0,0,1,1,0,0,1,1
102,u,27,2.934156379,0,0,0,1,0,1,0,1
102,u,28,2.041152263,0,0,0,1,0,1,1,1
102,Tu,29,4.16872428,0,0,1,1,0,0,0,1
102,u,30,3.732510288,0,0,0,1,0,1,0,1
102,u,31,2.275720165,0,0,0,1,0,1,0,1
102,Tu,32,3.736625514,0,0,1,1,0,0,1,1
102,Tu,33,1.773662551,0,0,1,1,0,0,1,1
102,u,34,1.654320988,0,0,0,1,0,1,0,1
102,Tu,35,4,0,0,1,1,0,0,1,1
102,u,36,1.761316872,0,0,0,1,0,1,0,1
102,u,37,1.880658436,0,0,0,1,0,1,1,1
102,u,38,1.600823045,0,0,0,1,0,1,0,1
102,Tu,39,4.024691358,0,0,1,1,0,0,1,1
102,Tu,40,4.255144033,0,0,1,1,0,0,0,1
102,u,41,3.83127572,0,0,0,1,0,1,0,1
102,Tu,42,4.444444444,0,0,1,1,0,0,1,1
102,Tu,43,3.794238683,0,0,1,1,0,0,1,1
102,u,44,1.724279835,0,0,0,1,0,1,0,1
102,Tu,45,3.679012346,0,0,1,1,0,0,1,1
102,u,46,1.563786008,0,0,0,1,0,1,0,1
102,Tu,47,4.061728395,0,0,1,1,0,0,1,1
102,u,48,1.275720165,0,0,0,1,0,1,1,1
102,Tu,49,4.04526749,0,0,1,1,0,0,1,1
102,s,50,3.057613169,0,1,0,0,1,0,0,1
102,Tu,51,4.296296296,0,0,1,1,0,0,1,1
102,u,52,1.765432099,0,0,0,1,0,1,1,1
102,Rs,53,2.172839506,1,1,0,0,0,0,0,1
102,u,54,1.609053498,0,0,0,1,0,1,0,1
102,Rs,55,2.205761317,1,1,0,0,0,0,1,1
102,s,56,1.502057613,0,1,0,0,1,0,0,1
102,Tu,57,4.362139918,0,0,1,1,0,0,1,1
102,Rs,58,1.860082305,1,1,0,0,0,0,1,1
102,s,59,1.650205761,0,1,0,0,1,0,0,1
102,u,60,1.489711934,0,0,0,1,0,1,0,1
102,Rs,61,1.913580247,1,1,0,0,0,0,1,1
102,s,62,1.70781893,0,1,0,0,1,0,1,1
102,Tu,63,4.094650206,0,0,1,1,0,0,0,1
102,u,64,1.909465021,0,0,0,1,0,1,0,1
102,Tu,65,4.164609053,0,0,1,1,0,0,0,0
102,Ts,66,2.95473251,0,1,1,0,0,0,0,0
102,Ru,67,3.032921811,1,0,0,1,0,0,0,0
