Participant,Stimulus,US Exp,BorderColor
130,EF-,3.033333333,#fb8072
131,EF-,1.037037058,#fb8072
132,EF-,2.956132371,#fb8072
133,EF-,3.593278464,#fb8072
134,EF-,1.012152778,#fb8072
135,EF-,1.72702333,#fb8072
136,EF-,1.355281207,#fb8072
137,EF-,1.033941723,#fb8072
138,EF-,4.944444444,#fb8072
139,EF-,1.017030894,#fb8072
140,EF-,1.08127572,#fb8072
141,EF-,1.26015689,#fb8072
142,EF-,1.018106996,#fb8072
143,EF-,4.302525767,#fb8072
144,EF-,1.934979424,#fb8072
145,EF-,4.790123457,#fb8072
146,EF-,3.989026063,#fb8072
147,EF-,1.101890432,#fb8072
148,EF-,2.320987654,#fb8072
149,EF-,1.239163225,#fb8072
150,EF-,4.457725948,#fb8072
151,EF-,3.391589506,#fb8072
152,EF-,3.59992284,#fb8072
153,EF-,1.196159174,#fb8072
154,EF-,2.425753675,#fb8072
155,EF-,1.028436857,#fb8072
156,EF-,3.643132716,#fb8072
157,EF-,1.015089205,#fb8072
158,EF-,1.028600823,#fb8072
159,EF-,3,#fb8072
160,EF-,1.038728031,#fb8072
161,EF-,1.124828532,#fb8072
162,EF-,1.980795611,#fb8072
163,EF-,1.028806679,#fb8072
164,EF-,2.876543315,#fb8072
165,EF-,1.007760141,#fb8072
166,EF-,1.022304158,#fb8072
167,EF-,2.762688614,#fb8072
