Trial,Mean,Low,High,SE,Stimulus
31,NaN,NaN,NaN,NaN,DES-
32,NaN,NaN,NaN,NaN,DES-
33,NaN,NaN,NaN,NaN,DES-
34,NaN,NaN,NaN,NaN,DES-
35,NaN,NaN,NaN,NaN,DES-
36,NaN,NaN,NaN,NaN,DES-
37,NaN,NaN,NaN,NaN,DES-
38,NaN,NaN,NaN,NaN,DES-
39,NaN,NaN,NaN,NaN,DES-
1,NaN,NaN,NaN,NaN,UMS-
2,NaN,NaN,NaN,NaN,UMS-
3,NaN,NaN,NaN,NaN,UMS-
4,NaN,NaN,NaN,NaN,UMS-
5,NaN,NaN,NaN,NaN,UMS-
6,NaN,NaN,NaN,NaN,UMS-
7,NaN,NaN,NaN,NaN,UMS-
8,NaN,NaN,NaN,NaN,UMS-
9,NaN,NaN,NaN,NaN,UMS-
10,NaN,NaN,NaN,NaN,UMS-
11,NaN,NaN,NaN,NaN,UMS-
12,NaN,NaN,NaN,NaN,UMS-
13,NaN,NaN,NaN,NaN,UMS-
14,NaN,NaN,NaN,NaN,UMS-
15,NaN,NaN,NaN,NaN,UMS-
16,NaN,NaN,NaN,NaN,UMS-
17,NaN,NaN,NaN,NaN,UMS-
18,NaN,NaN,NaN,NaN,UMS-
19,NaN,NaN,NaN,NaN,UMS-
20,NaN,NaN,NaN,NaN,UMS-
21,2.192037046,2.034860126,2.349213966,0.15717692,UMS-
22,1.70169324,1.555572138,1.847814343,0.146121103,UMS-
23,1.842624465,1.682130558,2.003118372,0.160493907,UMS-
24,1.727524011,1.583667096,1.871380926,0.143856915,UMS-
25,1.5990793,1.464340402,1.733818198,0.134738898,UMS-
26,1.719700786,1.564244586,1.875156985,0.155456199,UMS-
27,1.710029335,1.56238052,1.857678149,0.147648814,UMS-
28,1.820128276,1.659273601,1.98098295,0.160854674,UMS-
29,1.634699669,1.497541247,1.771858092,0.137158422,UMS-
30,1.6507483,1.509261666,1.792234934,0.141486634,UMS-
31,NaN,NaN,NaN,NaN,UMS-
32,NaN,NaN,NaN,NaN,UMS-
33,NaN,NaN,NaN,NaN,UMS-
34,NaN,NaN,NaN,NaN,UMS-
35,NaN,NaN,NaN,NaN,UMS-
36,NaN,NaN,NaN,NaN,UMS-
37,NaN,NaN,NaN,NaN,UMS-
38,NaN,NaN,NaN,NaN,UMS-
39,NaN,NaN,NaN,NaN,UMS-
