Participant,Stimulus,US Exp,BorderColor
147,AH,2.555555556,#e41a1c
148,AH,2.803677983,#e41a1c
149,AH,1.885030864,#e41a1c
150,AH,2.138705633,#e41a1c
151,AH,1.255144075,#e41a1c
152,AH,1.048127131,#e41a1c
153,AH,2.475619504,#e41a1c
154,AH,1.038973872,#e41a1c
155,AH,3.020183899,#e41a1c
156,AH,1.05941358,#e41a1c
157,AH,1,#e41a1c
158,AH,2.297395833,#e41a1c
101,H-,1.013644547,#e41a1c
102,H-,1.013489528,#e41a1c
103,H-,1.013717421,#e41a1c
104,H-,1.217592592,#e41a1c
105,H-,1.08126929,#e41a1c
106,H-,1.030178326,#e41a1c
107,H-,1.260138363,#e41a1c
108,H-,1.017381417,#e41a1c
109,H-,1.002743484,#e41a1c
110,H-,1.078975454,#e41a1c
111,H-,1.189563365,#e41a1c
112,H-,3.503269826,#e41a1c
113,H-,1.392425412,#e41a1c
114,H-,1.040884041,#e41a1c
115,H-,1.124828532,#e41a1c
116,H-,1.015046296,#e41a1c
117,H-,2.354683692,#e41a1c
118,H-,1.342094265,#e41a1c
119,H-,1.234967008,#e41a1c
120,H-,2.525244373,#e41a1c
121,H-,1.011188271,#e41a1c
122,H-,1.105709877,#e41a1c
123,H-,1.257887569,#e41a1c
124,H-,1,#e41a1c
125,H-,4.959309725,#e41a1c
126,H-,1.020576142,#e41a1c
127,H-,1.330864198,#e41a1c
128,H-,1.009602195,#e41a1c
129,H-,1.016975308,#e41a1c
130,H-,1,#e41a1c
131,H-,1.373113855,#e41a1c
132,H-,4.967592593,#e41a1c
133,H-,1.037037037,#e41a1c
134,H-,3.54743679,#e41a1c
135,H-,1.017832647,#e41a1c
136,H-,1.573388203,#e41a1c
137,H-,1.153935185,#e41a1c
138,H-,1.063100242,#e41a1c
139,H-,1.004243827,#e41a1c
140,H-,1.121141975,#e41a1c
141,H-,2.631001372,#e41a1c
142,H-,1.015032147,#e41a1c
143,H-,1.179385288,#e41a1c
144,H-,1.117969822,#e41a1c
145,H-,1.017832647,#e41a1c
146,H-,1.032407408,#e41a1c
147,H-,1.004115226,#e41a1c
148,H-,1.037969393,#e41a1c
149,H-,1.003472222,#e41a1c
150,H-,1.055367477,#e41a1c
151,H-,1.153635138,#e41a1c
152,H-,1.034629916,#e41a1c
153,H-,4.754329869,#e41a1c
154,H-,1,#e41a1c
155,H-,1.023894033,#e41a1c
156,H-,1.132716049,#e41a1c
157,H-,1,#e41a1c
158,H-,1.040817901,#e41a1c
