Participant,Stimulus,US Exp,BorderColor
124,AJK2,3.01498735,#d12d7f
125,AJK2,4.95512715,#d12d7f
126,AJK2,1.724279888,#d12d7f
127,AJK2,3.418106996,#d12d7f
128,AJK2,2.980795611,#d12d7f
129,AJK2,2.426963687,#d12d7f
130,AJK2,3.440727466,#d12d7f
131,AJK2,2.456790123,#d12d7f
132,AJK2,4.936728395,#d12d7f
133,AJK2,2.657064472,#d12d7f
134,AJK2,2.182410067,#d12d7f
135,AJK2,3.208504801,#d12d7f
136,AJK2,3.017832648,#d12d7f
137,AJK2,2.714506173,#d12d7f
138,AJK2,1.565157792,#d12d7f
139,AJK2,1.662037037,#d12d7f
140,AJK2,2.471450617,#d12d7f
141,AJK2,3.170757738,#d12d7f
142,AJK2,2.344381056,#d12d7f
143,AJK2,2.139519033,#d12d7f
144,AJK2,2.599451303,#d12d7f
145,AJK2,3,#d12d7f
146,AJK2,1.082912458,#d12d7f
147,AJK2,3.019204389,#d12d7f
148,AJK2,1.064808385,#d12d7f
149,AJK2,1.169367284,#d12d7f
150,AJK2,1.17261767,#d12d7f
151,AJK2,4.877915078,#d12d7f
152,AJK2,4.395436495,#d12d7f
153,AJK2,2.104716227,#d12d7f
154,AJK2,2.333333333,#d12d7f
155,AJK2,1.682665504,#d12d7f
156,AJK2,1.159722222,#d12d7f
157,AJK2,1.031550069,#d12d7f
158,AJK2,3.063503086,#d12d7f
101,TJK-2,1.017881944,#d12d7f
102,TJK-2,2.992111387,#d12d7f
103,TJK-2,1.016460905,#d12d7f
104,TJK-2,3.599922839,#d12d7f
105,TJK-2,1.050225051,#d12d7f
106,TJK-2,1.039780521,#d12d7f
107,TJK-2,4.617551504,#d12d7f
108,TJK-2,1.086419753,#d12d7f
109,TJK-2,1.002743484,#d12d7f
110,TJK-2,2.502057613,#d12d7f
111,TJK-2,2.427286712,#d12d7f
112,TJK-2,4.555790935,#d12d7f
113,TJK-2,2.398707562,#d12d7f
114,TJK-2,1.017457208,#d12d7f
115,TJK-2,4.687242799,#d12d7f
116,TJK-2,4.728395062,#d12d7f
117,TJK-2,1.875502008,#d12d7f
118,TJK-2,1.299323774,#d12d7f
119,TJK-2,3.751732249,#d12d7f
120,TJK-2,4.092278719,#d12d7f
121,TJK-2,1.038194444,#d12d7f
122,TJK-2,1.113425926,#d12d7f
123,TJK-2,3.544581681,#d12d7f
124,TJK-2,1,#d12d7f
125,TJK-2,4.968586811,#d12d7f
126,TJK-2,1.11659809,#d12d7f
127,TJK-2,2.78600823,#d12d7f
128,TJK-2,1.012345679,#d12d7f
129,TJK-2,1.245944083,#d12d7f
130,TJK-2,3.173459003,#d12d7f
131,TJK-2,4.562414266,#d12d7f
132,TJK-2,4.94058642,#d12d7f
133,TJK-2,1.012345679,#d12d7f
134,TJK-2,2.223691332,#d12d7f
135,TJK-2,1.016460905,#d12d7f
136,TJK-2,2.633744856,#d12d7f
137,TJK-2,1.813657407,#d12d7f
138,TJK-2,1.091906764,#d12d7f
139,TJK-2,1.00308642,#d12d7f
140,TJK-2,3.233410494,#d12d7f
141,TJK-2,2.919364402,#d12d7f
142,TJK-2,3.648374536,#d12d7f
143,TJK-2,2.010165895,#d12d7f
144,TJK-2,1.069958848,#d12d7f
145,TJK-2,1.04526749,#d12d7f
146,TJK-2,1.080808081,#d12d7f
147,TJK-2,1.009602195,#d12d7f
148,TJK-2,1.062049897,#d12d7f
149,TJK-2,1.020833333,#d12d7f
150,TJK-2,1.020852623,#d12d7f
151,TJK-2,4.231824563,#d12d7f
152,TJK-2,4.308668683,#d12d7f
153,TJK-2,2.418065548,#d12d7f
154,TJK-2,1,#d12d7f
155,TJK-2,1.035550443,#d12d7f
156,TJK-2,1.472222222,#d12d7f
157,TJK-2,1.026063132,#d12d7f
158,TJK-2,1.050141461,#d12d7f
101,ABC-2,1.817907665,#fdb462
102,ABC-2,3.066264347,#fdb462
103,ABC-2,1.013717421,#fdb462
104,ABC-2,3.603780864,#fdb462
105,ABC-2,1.153665124,#fdb462
106,ABC-2,1.038408779,#fdb462
107,ABC-2,3.582502007,#fdb462
108,ABC-2,4.683723197,#fdb462
109,ABC-2,1.004115226,#fdb462
110,ABC-2,1.534979424,#fdb462
111,ABC-2,1.234528458,#fdb462
112,ABC-2,4.471091801,#fdb462
113,ABC-2,3.486503343,#fdb462
