Trial,Mean,Low,High,SE,Stimulus
32,4.537945067,4.418428552,4.657461583,0.119516516,T+
33,4.51361975,4.388674723,4.638564776,0.124945026,T+
34,4.461392375,4.3248128,4.597971951,0.136579576,T+
35,4.579403998,4.455593997,4.703213998,0.12381,T+
36,4.581278928,4.459578931,4.702978925,0.121699997,T+
37,4.642216317,4.530777497,4.753655137,0.11143882,T+
38,4.604782879,4.48705012,4.722515638,0.117732759,T+
39,4.509174301,4.372132987,4.646215614,0.137041313,T+
1,2.812173422,2.684246483,2.94010036,0.127926938,JK+
2,4.084233258,3.946585621,4.221880895,0.137647637,JK+
3,4.322989782,4.190914156,4.455065408,0.132075626,JK+
4,4.64721898,4.563425991,4.731011968,0.083792988,JK+
5,4.626905122,4.528618517,4.725191726,0.098286604,JK+
6,4.667870387,4.569773143,4.765967632,0.098097245,JK+
7,4.709151327,4.626236327,4.792066327,0.082915,JK+
8,4.585046049,4.462370422,4.707721676,0.122675627,JK+
9,4.817755776,4.771176674,4.864334878,0.046579102,JK+
10,4.737791461,4.646682971,4.82889995,0.091108489,JK+
11,4.296283649,4.168241177,4.424326121,0.128042472,JK+
12,4.436227708,4.303549624,4.568905792,0.132678084,JK+
13,4.293326007,4.13328877,4.453363244,0.160037237,JK+
14,4.421377479,4.278196337,4.564558622,0.143181143,JK+
15,4.657161463,4.551168264,4.763154662,0.105993199,JK+
16,4.543336485,4.412568472,4.674104497,0.130768012,JK+
17,4.443064583,4.294623377,4.591505788,0.148441205,JK+
18,4.598960574,4.486453792,4.711467356,0.112506782,JK+
19,4.593598581,4.4711533,4.716043862,0.122445281,JK+
20,4.70821369,4.615454794,4.800972586,0.092758896,JK+
21,4.29074855,4.137812438,4.443684662,0.152936112,JK+
22,4.367666631,4.223988017,4.511345244,0.143678613,JK+
23,4.444584711,4.310163596,4.579005826,0.134421115,JK+
24,4.267606856,4.113821465,4.421392247,0.153785391,JK+
25,4.090629001,3.917479334,4.263778668,0.173149667,JK+
26,4.156085468,3.987449941,4.324720994,0.168635526,JK+
27,4.221541934,4.057420548,4.385663321,0.164121387,JK+
28,4.231536425,4.070433516,4.392639334,0.161102909,JK+
29,4.241530916,4.083446485,4.399615347,0.158084431,JK+
30,4.187836216,4.024789163,4.350883269,0.163047053,JK+
31,4.134141516,3.966131841,4.302151191,0.168009675,JK+
32,4.129373971,3.963696868,4.295051075,0.165677104,JK+
33,4.124606426,3.961261894,4.287950958,0.163344532,JK+
34,4.119838881,3.958826921,4.280850842,0.161011961,JK+
35,4.095935935,3.930891224,4.260980648,0.165044713,JK+
36,4.07203299,3.902955527,4.241110453,0.169077463,JK+
37,4.048130044,3.87501983,4.221240259,0.173110215,JK+
38,NaN,NaN,NaN,NaN,JK+
39,NaN,NaN,NaN,NaN,JK+
1,3.159672142,3.023535398,3.295808886,0.136136744,J-
2,2.264066528,2.103757038,2.424376019,0.160309491,J-
3,1.760741111,1.631295781,1.890186442,0.129445331,J-
4,1.662220996,1.528699047,1.795742944,0.133521948,J-
5,1.595715801,1.466559452,1.72487215,0.129156349,J-
6,1.394405509,1.290850841,1.497960177,0.103554668,J-
7,1.583533015,1.449931048,1.717134981,0.133601966,J-
8,1.470914699,1.351940654,1.589888744,0.118974045,J-
9,1.642184323,1.476217854,1.808150792,0.165966469,J-
10,1.298175791,1.223263181,1.373088401,0.07491261,J-
11,2.031620886,1.861759814,2.201481958,0.169861072,J-
12,1.438185081,1.321233413,1.555136749,0.116951668,J-
13,1.689070206,1.533733745,1.844406666,0.15533646,J-
14,1.755798636,1.589560908,1.922036365,0.166237729,J-
15,1.897287884,1.728091315,2.066484454,0.16919657,J-
16,1.644970472,1.493793296,1.796147648,0.151177176,J-
17,1.6839915,1.52319749,1.844785511,0.160794011,J-
18,1.653904178,1.506161768,1.801646589,0.147742411,J-
19,1.740715983,1.574729277,1.906702688,0.165986705,J-
20,1.502762176,1.372561067,1.632963284,0.130201108,J-
21,1.975057929,1.811624812,2.138491045,0.163433116,J-
22,2.081112456,1.899243503,2.262981409,0.181868953,J-
23,2.187166983,1.986862193,2.387471773,0.20030479,J-
24,2.093100485,1.905079108,2.281121861,0.188021376,J-
25,1.999033986,1.823296023,2.17477195,0.175737964,J-
26,2.143564424,1.95287599,2.334252859,0.190688435,J-
27,2.288094862,2.082455956,2.493733769,0.205638907,J-
28,2.109103368,1.918115444,2.300091293,0.190987925,J-
29,1.930111874,1.753774932,2.106448817,0.176336943,J-
30,NaN,NaN,NaN,NaN,J-
31,NaN,NaN,NaN,NaN,J-
32,NaN,NaN,NaN,NaN,J-
33,NaN,NaN,NaN,NaN,J-
34,NaN,NaN,NaN,NaN,J-
35,NaN,NaN,NaN,NaN,J-
36,NaN,NaN,NaN,NaN,J-
37,NaN,NaN,NaN,NaN,J-
38,NaN,NaN,NaN,NaN,J-
39,NaN,NaN,NaN,NaN,J-
1,3.310330108,3.175753975,3.444906241,0.134576133,K-
2,2.485209695,2.313579954,2.656839437,0.171629742,K-
3,2.07256586,1.900955423,2.244176298,0.171610438,K-
4,1.866282906,1.711018294,2.021547518,0.155264612,K-
5,1.7612198,1.612055615,1.910383984,0.149164184,K-
6,1.755427034,1.587344979,1.923509088,0.168082054,K-
7,1.652138551,1.492277414,1.811999688,0.159861137,K-
8,1.549834505,1.407652474,1.692016536,0.142182031,K-
9,1.542782322,1.404851769,1.680712875,0.137930553,K-
10,1.486785533,1.354288121,1.619282944,0.132497411,K-
11,1.725199612,1.590914255,1.859484969,0.134285357,K-
12,1.627999663,1.488261543,1.767737783,0.13973812,K-
13,1.41236877,1.304865906,1.519871634,0.107502864,K-
14,1.580024938,1.424181499,1.735868376,0.155843438,K-
15,1.669350235,1.510875501,1.82782497,0.158474735,K-
16,1.519498389,1.379363696,1.659633082,0.140134693,K-
17,1.525643168,1.385230788,1.666055548,0.14041238,K-
18,1.779303563,1.601538556,1.957068569,0.177765006,K-
19,1.545532269,1.411422556,1.679641982,0.134109713,K-
20,1.608283163,1.449287367,1.767278959,0.158995796,K-
21,1.764413071,1.607758608,1.921067533,0.156654462,K-
22,1.797640197,1.635729404,1.95955099,0.161910793,K-
23,1.830867323,1.6637002,1.998034446,0.167167123,K-
24,1.801260979,1.636489882,1.966032076,0.164771097,K-
25,1.771654635,1.609279564,1.934029706,0.162375071,K-
26,1.73452405,1.578969535,1.890078563,0.155554513,K-
27,1.697393464,1.548659506,1.846127421,0.148733957,K-
28,1.789957281,1.62475591,1.955158652,0.165201371,K-
29,1.882521098,1.700852313,2.064189883,0.181668785,K-
30,1.795773276,1.633202649,1.958343903,0.162570627,K-
31,1.709025453,1.565552984,1.852497923,0.14347247,K-
32,1.817266488,1.658478364,1.976054612,0.158788124,K-
33,1.925507523,1.751403745,2.099611302,0.174103779,K-
34,2.033748558,1.844329125,2.223167991,0.189419433,K-
35,1.995763469,1.808357108,2.18316983,0.187406361,K-
36,1.95777838,1.772385091,2.143171669,0.185393289,K-
37,1.919793291,1.736413074,2.103173508,0.183380217,K-
38,NaN,NaN,NaN,NaN,K-
39,NaN,NaN,NaN,NaN,K-
