Trial,Mean,Low,High,SE,Stimulus
29,NaN,NaN,NaN,NaN,ABR+
30,NaN,NaN,NaN,NaN,ABR+
31,NaN,NaN,NaN,NaN,ABR+
32,NaN,NaN,NaN,NaN,ABR+
33,NaN,NaN,NaN,NaN,ABR+
34,NaN,NaN,NaN,NaN,ABR+
35,NaN,NaN,NaN,NaN,ABR+
36,NaN,NaN,NaN,NaN,ABR+
37,NaN,NaN,NaN,NaN,ABR+
38,NaN,NaN,NaN,NaN,ABR+
39,NaN,NaN,NaN,NaN,ABR+
1,NaN,NaN,NaN,NaN,TJR+
2,NaN,NaN,NaN,NaN,TJR+
3,NaN,NaN,NaN,NaN,TJR+
4,NaN,NaN,NaN,NaN,TJR+
5,NaN,NaN,NaN,NaN,TJR+
6,NaN,NaN,NaN,NaN,TJR+
7,NaN,NaN,NaN,NaN,TJR+
8,NaN,NaN,NaN,NaN,TJR+
9,NaN,NaN,NaN,NaN,TJR+
10,NaN,NaN,NaN,NaN,TJR+
11,NaN,NaN,NaN,NaN,TJR+
12,NaN,NaN,NaN,NaN,TJR+
13,NaN,NaN,NaN,NaN,TJR+
14,NaN,NaN,NaN,NaN,TJR+
15,NaN,NaN,NaN,NaN,TJR+
16,NaN,NaN,NaN,NaN,TJR+
17,NaN,NaN,NaN,NaN,TJR+
18,NaN,NaN,NaN,NaN,TJR+
19,NaN,NaN,NaN,NaN,TJR+
20,NaN,NaN,NaN,NaN,TJR+
21,3.922764253,3.813530544,4.031997962,0.109233709,TJR+
22,4.656104463,4.574366222,4.737842704,0.081738241,TJR+
23,4.710172569,4.651583497,4.76876164,0.058589071,TJR+
24,4.693270002,4.616093333,4.770446672,0.07717667,TJR+
25,4.731649227,4.663756512,4.799541943,0.067892716,TJR+
26,4.747506662,4.677023297,4.817990027,0.070483365,TJR+
27,4.739018144,4.667217409,4.810818879,0.071800735,TJR+
28,4.736412337,4.660317849,4.812506825,0.076094488,TJR+
29,4.751319942,4.684690267,4.817949616,0.066629674,TJR+
30,4.723107466,4.64285269,4.803362242,0.080254776,TJR+
31,NaN,NaN,NaN,NaN,TJR+
32,NaN,NaN,NaN,NaN,TJR+
33,NaN,NaN,NaN,NaN,TJR+
34,NaN,NaN,NaN,NaN,TJR+
35,NaN,NaN,NaN,NaN,TJR+
36,NaN,NaN,NaN,NaN,TJR+
37,NaN,NaN,NaN,NaN,TJR+
38,NaN,NaN,NaN,NaN,TJR+
39,NaN,NaN,NaN,NaN,TJR+
