Participant,Stimulus,US Exp,BorderColor
128,MN-,2.975274301,#ffd92f
129,MN-,4.166610035,#ffd92f
130,MN-,2.324074074,#ffd92f
131,MN-,1.07133061,#ffd92f
132,MN-,2.759074331,#ffd92f
133,MN-,3.667009602,#ffd92f
134,MN-,4.940104167,#ffd92f
135,MN-,2.935528162,#ffd92f
136,MN-,1.414266118,#ffd92f
137,MN-,1.033941722,#ffd92f
138,MN-,2.498765451,#ffd92f
139,MN-,1.00882324,#ffd92f
140,MN-,1.103566529,#ffd92f
141,MN-,1.164929946,#ffd92f
142,MN-,1.042798354,#ffd92f
143,MN-,4.31974176,#ffd92f
144,MN-,1.103703704,#ffd92f
145,MN-,4.736111111,#ffd92f
146,MN-,1.46776406,#ffd92f
147,MN-,1.044720936,#ffd92f
148,MN-,1.787379973,#ffd92f
149,MN-,1.178281233,#ffd92f
150,MN-,4.405895691,#ffd92f
151,MN-,3.15625,#ffd92f
152,MN-,1.194444444,#ffd92f
153,MN-,1.145404706,#ffd92f
154,MN-,2.520318091,#ffd92f
155,MN-,1.062712995,#ffd92f
156,MN-,2.322530864,#ffd92f
157,MN-,1.016460874,#ffd92f
158,MN-,1.014602623,#ffd92f
159,MN-,3.007726109,#ffd92f
160,MN-,1.033532861,#ffd92f
161,MN-,2.381344307,#ffd92f
162,MN-,3.787379972,#ffd92f
163,MN-,1.010973989,#ffd92f
164,MN-,3.397805318,#ffd92f
165,MN-,1.024691358,#ffd92f
166,MN-,1.022304221,#ffd92f
167,MN-,1.082304526,#ffd92f
