Trial,Mean,Low,High,SE,Stimulus
27,NaN,NaN,NaN,NaN,DE-
28,NaN,NaN,NaN,NaN,DE-
29,NaN,NaN,NaN,NaN,DE-
30,NaN,NaN,NaN,NaN,DE-
31,NaN,NaN,NaN,NaN,DE-
32,NaN,NaN,NaN,NaN,DE-
33,NaN,NaN,NaN,NaN,DE-
34,NaN,NaN,NaN,NaN,DE-
35,NaN,NaN,NaN,NaN,DE-
36,NaN,NaN,NaN,NaN,DE-
37,NaN,NaN,NaN,NaN,DE-
38,NaN,NaN,NaN,NaN,DE-
39,NaN,NaN,NaN,NaN,DE-
1,3.238240557,3.124091779,3.352389334,0.114148778,D-
2,2.841728222,2.694181682,2.989274762,0.14754654,D-
3,2.445215888,2.264271585,2.62616019,0.180944302,D-
4,2.267984499,2.089463115,2.446505882,0.178521384,D-
5,2.090753109,1.914654644,2.266851575,0.176098465,D-
6,2.041288662,1.870664623,2.211912701,0.170624039,D-
7,1.991824215,1.826674602,2.156973827,0.165149613,D-
8,1.831193358,1.67871788,1.983668835,0.152475478,D-
9,1.670562501,1.530761158,1.810363843,0.139801343,D-
10,2.027557541,1.874126395,2.180988687,0.153431146,D-
11,2.384552581,2.217491631,2.551613531,0.16706095,D-
12,2.200216551,2.033797427,2.366635675,0.166419124,D-
13,2.01588052,1.850103222,2.181657818,0.165777298,D-
14,2.019758311,1.853606134,2.185910489,0.166152177,D-
15,2.023636103,1.857109047,2.190163159,0.166527056,D-
16,1.905483477,1.747096107,2.063870847,0.15838737,D-
17,1.787330852,1.637083168,1.937578536,0.150247684,D-
18,1.760347366,1.614784873,1.905909859,0.145562493,D-
19,1.73336388,1.592486578,1.874241182,0.140877302,D-
20,NaN,NaN,NaN,NaN,D-
21,NaN,NaN,NaN,NaN,D-
22,NaN,NaN,NaN,NaN,D-
23,NaN,NaN,NaN,NaN,D-
24,NaN,NaN,NaN,NaN,D-
25,NaN,NaN,NaN,NaN,D-
26,NaN,NaN,NaN,NaN,D-
27,NaN,NaN,NaN,NaN,D-
28,NaN,NaN,NaN,NaN,D-
29,NaN,NaN,NaN,NaN,D-
30,NaN,NaN,NaN,NaN,D-
31,NaN,NaN,NaN,NaN,D-
32,NaN,NaN,NaN,NaN,D-
33,NaN,NaN,NaN,NaN,D-
34,NaN,NaN,NaN,NaN,D-
35,NaN,NaN,NaN,NaN,D-
36,NaN,NaN,NaN,NaN,D-
37,NaN,NaN,NaN,NaN,D-
38,NaN,NaN,NaN,NaN,D-
39,NaN,NaN,NaN,NaN,D-
1,NaN,NaN,NaN,NaN,D-2
2,NaN,NaN,NaN,NaN,D-2
3,NaN,NaN,NaN,NaN,D-2
4,NaN,NaN,NaN,NaN,D-2
5,NaN,NaN,NaN,NaN,D-2
6,NaN,NaN,NaN,NaN,D-2
7,NaN,NaN,NaN,NaN,D-2
8,NaN,NaN,NaN,NaN,D-2
9,NaN,NaN,NaN,NaN,D-2
10,NaN,NaN,NaN,NaN,D-2
11,NaN,NaN,NaN,NaN,D-2
12,NaN,NaN,NaN,NaN,D-2
13,NaN,NaN,NaN,NaN,D-2
14,NaN,NaN,NaN,NaN,D-2
15,NaN,NaN,NaN,NaN,D-2
16,NaN,NaN,NaN,NaN,D-2
17,NaN,NaN,NaN,NaN,D-2
18,NaN,NaN,NaN,NaN,D-2
19,NaN,NaN,NaN,NaN,D-2
20,NaN,NaN,NaN,NaN,D-2
21,NaN,NaN,NaN,NaN,D-2
22,NaN,NaN,NaN,NaN,D-2
23,NaN,NaN,NaN,NaN,D-2
24,NaN,NaN,NaN,NaN,D-2
25,NaN,NaN,NaN,NaN,D-2
26,NaN,NaN,NaN,NaN,D-2
27,NaN,NaN,NaN,NaN,D-2
28,NaN,NaN,NaN,NaN,D-2
29,NaN,NaN,NaN,NaN,D-2
30,NaN,NaN,NaN,NaN,D-2
31,1.923788059,1.761764555,2.085811563,0.162023504,D-2
32,1.854998652,1.698204703,2.011792601,0.156793949,D-2
33,1.786209245,1.63464485,1.937773639,0.151564394,D-2
34,1.717419838,1.571084998,1.863754678,0.14633484,D-2
35,1.68389856,1.542702637,1.825094483,0.141195923,D-2
36,1.650377281,1.514320275,1.786434288,0.136057006,D-2
37,1.616856003,1.485937914,1.747774093,0.13091809,D-2
38,NaN,NaN,NaN,NaN,D-2
39,NaN,NaN,NaN,NaN,D-2
1,3.057239773,2.929505562,3.184973984,0.127734211,EF-
2,1.999544222,1.843870792,2.155217652,0.15567343,EF-
3,2.061767573,1.893669558,2.229865588,0.168098015,EF-
4,1.975633414,1.815310861,2.135955967,0.160322553,EF-
5,1.951845238,1.786154345,2.117536131,0.165690893,EF-
6,2.371982158,2.207447682,2.536516635,0.164534476,EF-
7,2.489949938,2.303242705,2.676657171,0.186707233,EF-
8,2.59606812,2.408027815,2.784108424,0.188040305,EF-
9,2.549000319,2.355453496,2.742547141,0.193546823,EF-
10,2.625030123,2.428565,2.821495246,0.196465123,EF-
11,2.829650468,2.636777044,3.022523892,0.192873424,EF-
12,2.867251848,2.667508908,3.066994789,0.199742941,EF-
13,2.904853229,2.698240772,3.111465686,0.206612457,EF-
14,2.939977238,2.737026343,3.142928133,0.202950895,EF-
15,2.975101247,2.775811914,3.17439058,0.199289333,EF-
16,2.929813294,2.728385403,3.131241185,0.201427891,EF-
17,2.88452534,2.680958891,3.08809179,0.203566449,EF-
18,2.807594709,2.605244579,3.009944838,0.20235013,EF-
19,2.730664077,2.529530266,2.931797887,0.20113381,EF-
20,NaN,NaN,NaN,NaN,EF-
21,NaN,NaN,NaN,NaN,EF-
22,NaN,NaN,NaN,NaN,EF-
23,NaN,NaN,NaN,NaN,EF-
24,NaN,NaN,NaN,NaN,EF-
25,NaN,NaN,NaN,NaN,EF-
26,NaN,NaN,NaN,NaN,EF-
27,NaN,NaN,NaN,NaN,EF-
28,NaN,NaN,NaN,NaN,EF-
29,NaN,NaN,NaN,NaN,EF-
30,NaN,NaN,NaN,NaN,EF-
31,NaN,NaN,NaN,NaN,EF-
32,NaN,NaN,NaN,NaN,EF-
33,NaN,NaN,NaN,NaN,EF-
34,NaN,NaN,NaN,NaN,EF-
35,NaN,NaN,NaN,NaN,EF-
36,NaN,NaN,NaN,NaN,EF-
37,NaN,NaN,NaN,NaN,EF-
38,NaN,NaN,NaN,NaN,EF-
39,NaN,NaN,NaN,NaN,EF-
1,NaN,NaN,NaN,NaN,EF-2
2,NaN,NaN,NaN,NaN,EF-2
3,NaN,NaN,NaN,NaN,EF-2
4,NaN,NaN,NaN,NaN,EF-2
5,NaN,NaN,NaN,NaN,EF-2
6,NaN,NaN,NaN,NaN,EF-2
