,mean,sd,hpd_3%,hpd_97%
α_mean,0.515,0.041,0.441,0.592
α_sd,0.294,0.031,0.239,0.35
α[0],0.129,0.011,0.111,0.15
α[1],0.808,0.149,0.515,0.994
α[2],0.561,0.102,0.363,0.731
α[3],0.816,0.149,0.525,0.996
α[4],0.595,0.175,0.295,0.908
α[5],0.104,0.01,0.085,0.123
α[6],0.133,0.015,0.107,0.162
α[7],0.749,0.158,0.459,0.974
α[8],0.451,0.231,0.057,0.843
α[9],0.714,0.155,0.411,0.949
α[10],0.111,0.032,0.06,0.176
α[11],0.351,0.147,0.115,0.635
α[12],0.223,0.044,0.138,0.302
α[13],0.292,0.064,0.174,0.417
α[14],0.757,0.139,0.495,0.955
α[15],0.585,0.238,0.183,0.981
α[16],0.301,0.143,0.09,0.587
α[17],0.48,0.111,0.288,0.688
α[18],0.459,0.28,0.031,0.93
α[19],0.593,0.117,0.374,0.801
α[20],0.591,0.135,0.314,0.805
α[21],0.095,0.009,0.079,0.112
α[22],0.785,0.135,0.551,0.984
α[23],0.852,0.142,0.582,0.994
α[24],0.567,0.198,0.194,0.895
α[25],0.739,0.131,0.505,0.955
α[26],0.574,0.287,0.075,0.986
α[27],0.239,0.045,0.165,0.329
α[28],0.009,0.003,0.004,0.015
α[29],0.106,0.009,0.09,0.124
α[30],0.714,0.145,0.432,0.944
α[31],0.537,0.117,0.323,0.75
α[32],0.138,0.021,0.1,0.175
α[33],0.813,0.144,0.521,0.986
α[34],0.531,0.178,0.227,0.859
α[35],0.781,0.137,0.517,0.97
α[36],0.656,0.206,0.287,0.982
α[37],0.753,0.148,0.468,0.976
α[38],0.646,0.188,0.317,0.956
α[39],0.751,0.17,0.422,0.98
α[40],0.843,0.123,0.618,0.993
α[41],0.322,0.106,0.116,0.507
α[42],0.085,0.009,0.07,0.102
α[43],0.75,0.148,0.473,0.978
α[44],0.198,0.029,0.149,0.259
α[45],0.248,0.042,0.174,0.328
α[46],0.798,0.158,0.486,0.994
α[47],0.618,0.199,0.262,0.949
α[48],0.241,0.039,0.173,0.319
α[49],0.112,0.011,0.092,0.13
α[50],0.145,0.017,0.114,0.176
α[51],0.759,0.142,0.508,0.974
α[52],0.703,0.17,0.373,0.947
α[53],0.594,0.23,0.216,0.987
α[54],0.769,0.145,0.495,0.98
α[55],0.561,0.231,0.131,0.927
α[56],0.732,0.125,0.5,0.941
α[57],0.475,0.16,0.178,0.758
α[58],0.493,0.189,0.146,0.825
α[59],0.371,0.109,0.185,0.575
α[60],0.639,0.139,0.378,0.883
α[61],0.406,0.116,0.209,0.63
α[62],0.783,0.133,0.534,0.973
α[63],0.483,0.169,0.17,0.774
α[64],0.736,0.156,0.463,0.987
α[65],0.728,0.179,0.392,0.983
α[66],0.603,0.149,0.333,0.864
