,Simulated_α,Recovered_α,Simulated_ί_P,Recovered_ί_P,Simulated_ί_Pabs,Recovered_ί_Pabs,Simulated_ί_N,Recovered_ί_N,,,,,,,,
57,0.485033162,0.481351858,0.115965724,0.11988832,0.094743679,0.098943933,0.06228205,0.063155774,,,,,,,,
58,0.895318291,0.894330782,0.287899634,0.288792282,0.73534565,0.740046215,0.604501188,0.607459786,,,,,,,,
59,0.25269749,0.252396735,0.41816402,0.419203106,0.440227367,0.440718025,0.606153207,0.606823747,,,,,,,,
60,0.24747762,0.245682399,0.316563393,0.324733699,0.228897629,0.236765169,0.079885308,0.080227144,,,,,,,,
61,0.150108225,0.14974688,0.379182334,0.391120268,0.235466282,0.251588096,0.471868781,0.475473698,,,,,,,,
62,0.423059516,0.423126614,0.851210362,0.851593097,0.346729382,0.346993814,0.426892561,0.427520479,,,,,,,,
63,0.638451418,0.637374801,0.23555015,0.236862613,0.346467209,0.348875808,0.57097478,0.572516891,,,,,,,,
64,0.275483144,0.27537163,0.663550953,0.6646482,0.276585167,0.276513448,0.549566672,0.548760348,,,,,,,,
65,0.393400635,0.393244316,0.627975337,0.628826632,0.477527087,0.477409528,0.330492069,0.330597411,,,,,,,,
66,0.233568555,0.234464427,0.753687991,0.745385029,0.44445889,0.438225378,0.410365464,0.408461125,,,,,,,,
