,mean,sd,hpd_3%,hpd_97%
α_mean,0.564,0.056,0.453,0.666
α_sd,0.401,0.04,0.323,0.472
α[0],0.936,0.051,0.845,0.996
α[1],0.839,0.062,0.722,0.936
α[2],0.934,0.055,0.84,0.996
α[3],0.076,0.011,0.059,0.099
α[4],0.761,0.073,0.624,0.889
α[5],0.956,0.047,0.875,0.998
α[6],0.134,0.017,0.104,0.167
α[7],0.934,0.055,0.83,0.997
α[8],0.959,0.051,0.885,0.999
α[9],0.94,0.06,0.825,0.996
α[10],0.034,0.016,0.009,0.062
α[11],0.033,0.004,0.024,0.041
α[12],0.139,0.017,0.109,0.171
α[13],0.875,0.069,0.744,0.979
α[14],0.058,0.007,0.046,0.072
α[15],0.87,0.079,0.715,0.979
α[16],0.826,0.067,0.692,0.932
α[17],0.783,0.083,0.633,0.93
α[18],0.799,0.082,0.65,0.938
α[19],0.018,0.005,0.01,0.028
α[20],0.893,0.054,0.798,0.973
α[21],0.949,0.05,0.868,0.997
α[22],0.031,0.008,0.018,0.044
α[23],0.941,0.047,0.858,0.995
α[24],0.822,0.084,0.657,0.953
α[25],0.923,0.053,0.824,0.989
α[26],0.177,0.013,0.155,0.204
α[27],0.954,0.046,0.877,0.998
α[28],0.825,0.116,0.622,0.98
α[29],0.11,0.01,0.09,0.126
α[30],0.066,0.012,0.045,0.091
α[31],0.052,0.008,0.039,0.067
α[32],0.716,0.085,0.561,0.861
α[33],0.003,0.004,0.0,0.01
α[34],0.213,0.017,0.185,0.246
α[35],0.148,0.015,0.122,0.175
α[36],0.208,0.019,0.173,0.241
α[37],0.298,0.03,0.242,0.353
α[38],0.901,0.061,0.784,0.983
α[39],0.082,0.011,0.065,0.104
α[40],0.055,0.007,0.043,0.069
α[41],0.734,0.078,0.576,0.863
α[42],0.138,0.011,0.118,0.16
α[43],0.793,0.085,0.638,0.935
α[44],0.936,0.049,0.856,0.993
α[45],0.829,0.074,0.708,0.965
α[46],0.93,0.052,0.83,0.993
α[47],0.895,0.066,0.776,0.984
α[48],0.941,0.048,0.851,0.996
α[49],0.958,0.048,0.88,0.999
α[50],0.038,0.008,0.023,0.052
α[51],0.722,0.129,0.482,0.933
α[52],0.023,0.005,0.012,0.032
α[53],0.92,0.058,0.812,0.995
α[54],0.807,0.078,0.666,0.937
α[55],0.166,0.011,0.145,0.188
α[56],0.59,0.089,0.42,0.747
α[57],0.96,0.044,0.89,0.999
