,Simulated_α,Recovered_α
0,0.6368012458180822,0.6367964986541881
1,0.6910090921839047,0.6910049774812822
2,0.2716945322655327,0.2716568845746589
3,0.6130697058210836,0.6130740877096621
4,0.7511485475387641,0.7511581297589875
5,0.4482475201963803,0.44818907492461135
6,0.5380837566776506,0.5380804291176822
7,0.7897610937025384,0.7897467075316171
8,0.40564791080056317,0.40558865038072467
9,0.7491478055978321,0.7491557147644771
10,0.7707002795005938,0.770718051431052
11,0.31212658634788043,0.31211410824975433
12,0.2283191293458999,0.22835411289916227
13,0.2900851249478431,0.2899711922748733
14,0.8599450689982596,0.8599462505829502
15,0.6736284560883359,0.6735735262801595
16,0.1426934029611636,0.1426709191908992
17,0.7595316285400328,0.7595480684631305
18,0.9470421502807201,0.9470341998011126
19,0.8639675373282973,0.8639612083686259
20,0.5137920005787914,0.5137580147684984
21,0.47806665348889427,0.4781657117449241
22,0.6167339086006935,0.6166836654837285
23,0.15565594787871248,0.15561387989003558
24,0.4001570471400571,0.4000800374244054
25,0.585170294656674,0.5851211846990126
26,0.557511876561178,0.5576316523015485
27,0.5010751179902886,0.5010930888948352
28,0.18161085075627775,0.1816576490304198
29,0.32079635006451057,0.3207511790976216
30,0.1100252257269933,0.10997789155240519
31,0.7052710951957222,0.7051715092033046
32,0.11518517846643876,0.1152051135905592
33,0.7936704172524472,0.793660758611988
34,0.4213044559269745,0.4213995574669418
35,0.701914547224519,0.7018270464742791
36,0.5562187711176564,0.5562548300399254
37,0.6021862259244884,0.6021269772650056
38,0.2024408995228979,0.20250090015691405
39,0.9081248291767586,0.9081373030610742
40,0.3621103436798081,0.36213823655929434
41,0.18757455381379878,0.1875940038816956
42,0.12076028933395175,0.12073805590073872
43,0.4833593961505627,0.4833418129744848
44,0.4641072978880197,0.46415953577957364
45,0.12276381830321544,0.1228190204554503
46,0.7564456682687652,0.756435824157904
47,0.4283393056945361,0.4284659409487561
48,0.2287653379037826,0.22877521334700138
49,0.05059987362647211,0.050574926845968746
50,0.5281062993718555,0.5281675483123436
51,0.2509787359460475,0.25094461998272694
52,0.5077121375316833,0.5076990878508996
53,0.49912367582850176,0.49908857700198417
54,0.7644335084569375,0.764466473764053
55,0.7922000190526594,0.7921572922447837
56,0.4756792285862361,0.47574553532882063
57,0.3573383135325496,0.35740669312187395
