,mean,sd,hpd_3%,hpd_97%
α_mean,0.699,0.052,0.609,0.803
α_sd,0.361,0.039,0.285,0.431
iotaP_mean,0.518,0.041,0.444,0.599
iotaP_sd,0.281,0.031,0.225,0.338
iotaN_mean,0.605,0.052,0.502,0.69
iotaN_sd,0.347,0.035,0.275,0.407
iotaNabs_mean,0.539,0.041,0.466,0.619
iotaNabs_sd,0.275,0.031,0.224,0.338
iotaP2abs_mean,0.484,0.046,0.397,0.566
iotaP2abs_sd,0.285,0.03,0.228,0.342
iotaN2_mean,0.382,0.047,0.288,0.464
iotaN2_sd,0.303,0.032,0.246,0.362
α[0],0.957,0.044,0.886,0.998
α[1],0.916,0.057,0.812,0.988
α[2],0.958,0.046,0.877,0.999
α[3],0.871,0.056,0.76,0.955
α[4],0.841,0.072,0.696,0.949
α[5],0.972,0.03,0.921,0.999
α[6],0.713,0.056,0.606,0.809
α[7],0.957,0.042,0.882,0.998
α[8],0.972,0.032,0.92,0.999
α[9],0.965,0.042,0.897,0.999
α[10],0.033,0.015,0.01,0.061
α[11],0.033,0.004,0.026,0.041
α[12],0.494,0.043,0.416,0.58
α[13],0.945,0.05,0.859,0.995
α[14],0.333,0.037,0.263,0.402
α[15],0.934,0.064,0.815,0.998
α[16],0.921,0.055,0.822,0.991
α[17],0.888,0.083,0.729,0.99
α[18],0.864,0.079,0.716,0.975
α[19],0.019,0.005,0.011,0.028
α[20],0.948,0.052,0.857,0.998
α[21],0.967,0.036,0.906,0.999
α[22],0.734,0.074,0.598,0.862
α[23],0.97,0.033,0.918,0.999
α[24],0.894,0.076,0.756,0.987
α[25],0.956,0.044,0.879,0.998
α[26],0.609,0.061,0.491,0.721
α[27],0.968,0.033,0.904,0.998
α[28],0.926,0.068,0.816,0.997
α[29],0.142,0.017,0.109,0.174
α[30],0.092,0.02,0.056,0.129
α[31],0.052,0.008,0.038,0.067
α[32],0.826,0.07,0.702,0.944
α[33],0.003,0.002,0.0,0.008
α[34],0.739,0.064,0.629,0.863
α[35],0.635,0.077,0.5,0.783
α[36],0.79,0.059,0.674,0.887
α[37],0.792,0.057,0.681,0.882
