,mean,sd,hpd_3%,hpd_97%
iotaN[21],0.533,0.175,0.218,0.844
iotaN[22],0.12,0.019,0.087,0.156
iotaN[23],0.335,0.075,0.19,0.47
iotaN[24],0.612,0.125,0.382,0.838
iotaN[25],0.773,0.155,0.461,0.984
iotaN[26],0.354,0.073,0.22,0.494
iotaN[27],0.609,0.175,0.273,0.887
iotaN[28],0.546,0.149,0.273,0.805
iotaN[29],0.207,0.077,0.089,0.37
iotaN[30],0.246,0.159,0.018,0.543
iotaN[31],0.399,0.196,0.079,0.765
iotaN[32],0.565,0.144,0.311,0.843
iotaN[33],0.493,0.219,0.09,0.85
iotaN[34],0.497,0.122,0.274,0.722
iotaN[35],0.662,0.144,0.402,0.913
iotaN[36],0.225,0.041,0.149,0.298
iotaN[37],0.184,0.031,0.126,0.241
iotaN[38],0.527,0.158,0.229,0.788
iotaN[39],0.393,0.181,0.101,0.73
iotaN[40],0.408,0.223,0.053,0.807
iotaN[41],0.775,0.154,0.489,0.981
iotaN[42],0.393,0.107,0.217,0.599
iotaN[43],0.458,0.125,0.253,0.707
iotaN[44],0.613,0.174,0.299,0.912
iotaN[45],0.448,0.119,0.237,0.676
iotaN[46],0.632,0.179,0.323,0.937
iotaN[47],0.645,0.179,0.32,0.947
iotaN[48],0.524,0.166,0.245,0.843
iotaN[49],0.583,0.186,0.233,0.886
iotaN[50],0.429,0.222,0.039,0.795
iotaN[51],0.773,0.152,0.478,0.977
iotaN[52],0.501,0.219,0.119,0.875
iotaN[53],0.584,0.153,0.303,0.855
iotaN[54],0.656,0.178,0.336,0.953
iotaN[55],0.299,0.076,0.167,0.445
iotaN[56],0.364,0.08,0.218,0.513
iotaN[57],0.46,0.138,0.217,0.716
iotaNabs[0],0.755,0.163,0.451,0.986
iotaNabs[1],0.575,0.187,0.243,0.891
iotaNabs[2],0.725,0.177,0.401,0.979
iotaNabs[3],0.041,0.024,0.007,0.085
iotaNabs[4],0.758,0.171,0.417,0.981
iotaNabs[5],0.77,0.162,0.46,0.98
iotaNabs[6],0.383,0.161,0.092,0.659
iotaNabs[7],0.709,0.186,0.372,0.973
iotaNabs[8],0.746,0.176,0.404,0.982
iotaNabs[9],0.761,0.17,0.421,0.987
iotaNabs[10],0.521,0.244,0.139,0.948
iotaNabs[11],0.495,0.246,0.088,0.914
iotaNabs[12],0.195,0.146,0.01,0.459
iotaNabs[13],0.746,0.174,0.425,0.985
iotaNabs[14],0.025,0.03,0.001,0.075
iotaNabs[15],0.544,0.169,0.237,0.836
iotaNabs[16],0.726,0.184,0.367,0.977
iotaNabs[17],0.498,0.195,0.183,0.861
iotaNabs[18],0.265,0.156,0.028,0.555
iotaNabs[19],0.51,0.241,0.103,0.915
iotaNabs[20],0.635,0.187,0.271,0.936
iotaNabs[21],0.687,0.204,0.305,0.979
iotaNabs[22],0.437,0.188,0.116,0.78
iotaNabs[23],0.76,0.173,0.433,0.989
iotaNabs[24],0.736,0.18,0.398,0.983
iotaNabs[25],0.706,0.194,0.349,0.988
iotaNabs[26],0.231,0.158,0.019,0.55
iotaNabs[27],0.676,0.198,0.313,0.976
iotaNabs[28],0.495,0.165,0.182,0.774
iotaNabs[29],0.417,0.227,0.043,0.807
iotaNabs[30],0.611,0.226,0.218,0.979
iotaNabs[31],0.43,0.253,0.026,0.855
iotaNabs[32],0.665,0.207,0.295,0.977
iotaNabs[33],0.525,0.234,0.128,0.925
iotaNabs[34],0.301,0.161,0.049,0.581
iotaNabs[35],0.275,0.204,0.016,0.663
iotaNabs[36],0.25,0.104,0.081,0.444
iotaNabs[37],0.747,0.177,0.421,0.991
iotaNabs[38],0.644,0.193,0.296,0.955
iotaNabs[39],0.496,0.243,0.075,0.899
iotaNabs[40],0.488,0.244,0.11,0.944
iotaNabs[41],0.47,0.159,0.188,0.756
iotaNabs[42],0.178,0.111,0.017,0.391
iotaNabs[43],0.617,0.207,0.26,0.956
iotaNabs[44],0.621,0.214,0.239,0.961
iotaNabs[45],0.732,0.175,0.403,0.98
iotaNabs[46],0.745,0.17,0.428,0.994
iotaNabs[47],0.568,0.191,0.223,0.881
iotaNabs[48],0.744,0.176,0.418,0.986
iotaNabs[49],0.735,0.174,0.426,0.982
iotaNabs[50],0.507,0.248,0.091,0.93
iotaNabs[51],0.362,0.183,0.072,0.71
iotaNabs[52],0.5,0.248,0.079,0.913
iotaNabs[53],0.732,0.181,0.38,0.981
iotaNabs[54],0.548,0.219,0.156,0.914
iotaNabs[55],0.436,0.173,0.129,0.738
iotaNabs[56],0.766,0.168,0.445,0.99
iotaNabs[57],0.705,0.19,0.344,0.977
