,mean,sd,hpd_3%,hpd_97%
α[55],0.288,0.069,0.16,0.415
α[56],0.967,0.034,0.904,0.999
α[57],0.965,0.044,0.896,0.999
α[58],0.013,0.004,0.007,0.021
α[59],0.821,0.06,0.712,0.922
α[60],0.884,0.063,0.777,0.974
α[61],0.205,0.025,0.16,0.251
α[62],0.919,0.056,0.813,0.991
α[63],0.087,0.014,0.061,0.112
α[64],0.97,0.033,0.915,0.999
α[65],0.967,0.034,0.91,0.999
α[66],0.739,0.067,0.62,0.867
iotaP[0],0.394,0.245,0.024,0.847
iotaP[1],0.841,0.139,0.591,0.995
iotaP[2],0.592,0.222,0.206,0.968
iotaP[3],0.884,0.115,0.659,0.997
iotaP[4],0.432,0.152,0.167,0.713
iotaP[5],0.625,0.235,0.198,0.965
iotaP[6],0.619,0.23,0.185,0.963
iotaP[7],0.868,0.124,0.636,0.997
iotaP[8],0.818,0.145,0.538,0.989
iotaP[9],0.812,0.15,0.517,0.995
iotaP[10],0.751,0.187,0.375,0.989
iotaP[11],0.866,0.12,0.632,0.997
iotaP[12],0.597,0.149,0.339,0.874
iotaP[13],0.817,0.126,0.573,0.982
iotaP[14],0.881,0.107,0.674,0.995
iotaP[15],0.246,0.061,0.147,0.373
iotaP[16],0.737,0.162,0.425,0.963
iotaP[17],0.587,0.228,0.174,0.938
iotaP[18],0.646,0.211,0.276,0.983
iotaP[19],0.026,0.03,0.0,0.078
iotaP[20],0.854,0.122,0.617,0.993
iotaP[21],0.635,0.23,0.215,0.97
iotaP[22],0.887,0.114,0.678,0.995
iotaP[23],0.843,0.15,0.532,0.997
iotaP[24],0.848,0.126,0.612,0.997
iotaP[25],0.632,0.157,0.342,0.899
iotaP[26],0.49,0.195,0.152,0.828
iotaP[27],0.611,0.225,0.208,0.962
iotaP[28],0.613,0.228,0.216,0.973
iotaP[29],0.708,0.213,0.315,0.989
iotaP[30],0.883,0.112,0.678,0.997
iotaP[31],0.453,0.139,0.201,0.691
iotaP[32],0.63,0.23,0.21,0.973
iotaP[33],0.739,0.157,0.459,0.975
iotaP[34],0.027,0.033,0.0,0.082
iotaP[35],0.708,0.144,0.429,0.931
iotaP[36],0.837,0.126,0.597,0.994
iotaP[37],0.467,0.098,0.282,0.635
iotaP[38],0.885,0.114,0.674,0.998
iotaP[39],0.784,0.152,0.49,0.985
iotaP[40],0.781,0.177,0.425,0.995
iotaP[41],0.745,0.166,0.436,0.977
iotaP[42],0.633,0.229,0.223,0.988
iotaP[43],0.847,0.135,0.575,0.996
iotaP[44],0.42,0.147,0.164,0.683
iotaP[45],0.232,0.083,0.083,0.375
iotaP[46],0.887,0.104,0.691,0.996
iotaP[47],0.884,0.113,0.674,0.997
iotaP[48],0.866,0.119,0.64,0.996
iotaP[49],0.638,0.228,0.214,0.98
iotaP[50],0.619,0.22,0.234,0.974
iotaP[51],0.801,0.147,0.528,0.992
iotaP[52],0.884,0.11,0.676,0.995
iotaP[53],0.762,0.172,0.419,0.99
iotaP[54],0.885,0.113,0.658,0.996
iotaP[55],0.722,0.149,0.441,0.957
iotaP[56],0.865,0.123,0.615,0.996
iotaP[57],0.888,0.109,0.687,0.995
iotaP[58],0.618,0.219,0.224,0.965
iotaP[59],0.866,0.117,0.655,0.996
iotaP[60],0.84,0.13,0.573,0.989
iotaP[61],0.199,0.059,0.096,0.305
iotaP[62],0.85,0.133,0.587,0.996
iotaP[63],0.615,0.203,0.244,0.943
iotaP[64],0.867,0.118,0.627,0.996
iotaP[65],0.885,0.119,0.655,0.999
iotaP[66],0.689,0.152,0.392,0.933
iotaPabs[0],0.536,0.238,0.143,0.948
iotaPabs[1],0.131,0.038,0.061,0.197
iotaPabs[2],0.491,0.24,0.081,0.891
iotaPabs[3],0.712,0.182,0.362,0.974
iotaPabs[4],0.313,0.12,0.109,0.534
iotaPabs[5],0.504,0.242,0.081,0.907
iotaPabs[6],0.512,0.251,0.107,0.937
iotaPabs[7],0.682,0.188,0.333,0.963
iotaPabs[8],0.577,0.183,0.257,0.911
iotaPabs[9],0.078,0.027,0.033,0.129
iotaPabs[10],0.538,0.237,0.137,0.952
iotaPabs[11],0.627,0.184,0.303,0.943
iotaPabs[12],0.544,0.185,0.197,0.857
iotaPabs[13],0.518,0.161,0.228,0.806
iotaPabs[14],0.729,0.177,0.399,0.985
iotaPabs[15],0.59,0.181,0.267,0.908
iotaPabs[16],0.295,0.093,0.14,0.477
iotaPabs[17],0.491,0.241,0.097,0.918
iotaPabs[18],0.292,0.139,0.07,0.545
iotaPabs[19],0.492,0.187,0.18,0.845
iotaPabs[20],0.453,0.16,0.139,0.711
iotaPabs[21],0.507,0.237,0.1,0.906
iotaPabs[22],0.667,0.183,0.315,0.954
iotaPabs[23],0.658,0.191,0.321,0.961
iotaPabs[24],0.304,0.154,0.051,0.581
iotaPabs[25],0.141,0.043,0.069,0.22
iotaPabs[26],0.38,0.214,0.05,0.776
iotaPabs[27],0.494,0.242,0.09,0.904
iotaPabs[28],0.517,0.238,0.112,0.933
iotaPabs[29],0.537,0.24,0.121,0.935
iotaPabs[30],0.75,0.17,0.432,0.979
iotaPabs[31],0.455,0.178,0.155,0.796
iotaPabs[32],0.511,0.238,0.08,0.885
iotaPabs[33],0.151,0.047,0.071,0.234
iotaPabs[34],0.037,0.048,0.001,0.111
iotaPabs[35],0.717,0.176,0.39,0.975
iotaPabs[36],0.533,0.204,0.165,0.886
iotaPabs[37],0.062,0.066,0.003,0.18
iotaPabs[38],0.683,0.172,0.373,0.967
iotaPabs[39],0.352,0.149,0.092,0.622
iotaPabs[40],0.589,0.213,0.223,0.936
iotaPabs[41],0.736,0.167,0.421,0.984
iotaPabs[42],0.511,0.241,0.075,0.894
iotaPabs[43],0.71,0.175,0.376,0.959
iotaPabs[44],0.23,0.115,0.057,0.448
iotaPabs[45],0.763,0.167,0.438,0.978
iotaPabs[46],0.728,0.178,0.396,0.98
iotaPabs[47],0.735,0.176,0.4,0.982
iotaPabs[48],0.74,0.172,0.403,0.985
iotaPabs[49],0.514,0.242,0.119,0.937
iotaPabs[50],0.51,0.248,0.091,0.919
iotaPabs[51],0.619,0.218,0.249,0.98
iotaPabs[52],0.596,0.189,0.254,0.918
iotaPabs[53],0.515,0.208,0.123,0.853
iotaPabs[54],0.735,0.172,0.399,0.981
iotaPabs[55],0.046,0.044,0.002,0.123
iotaPabs[56],0.75,0.166,0.427,0.98
iotaPabs[57],0.74,0.178,0.414,0.986
iotaPabs[58],0.508,0.233,0.123,0.922
iotaPabs[59],0.695,0.17,0.368,0.952
iotaPabs[60],0.677,0.172,0.35,0.945
iotaPabs[61],0.581,0.184,0.264,0.913
iotaPabs[62],0.14,0.038,0.077,0.208
iotaPabs[63],0.568,0.232,0.144,0.925
iotaPabs[64],0.755,0.161,0.468,0.989
iotaPabs[65],0.689,0.2,0.319,0.984
iotaPabs[66],0.764,0.171,0.432,0.989
iotaN[0],0.531,0.239,0.087,0.9
iotaN[1],0.478,0.205,0.103,0.834
iotaN[2],0.458,0.241,0.059,0.865
iotaN[3],0.679,0.18,0.342,0.95
iotaN[4],0.115,0.027,0.068,0.162
iotaN[5],0.42,0.252,0.024,0.854
iotaN[6],0.444,0.244,0.057,0.878
iotaN[7],0.693,0.173,0.381,0.964
iotaN[8],0.055,0.01,0.036,0.075
iotaN[9],0.465,0.189,0.134,0.798
iotaN[10],0.339,0.242,0.008,0.787
iotaN[11],0.182,0.035,0.122,0.249
iotaN[12],0.233,0.101,0.077,0.426
iotaN[13],0.412,0.082,0.256,0.559
iotaN[14],0.711,0.182,0.369,0.977
iotaN[15],0.143,0.038,0.08,0.213
iotaN[16],0.078,0.019,0.043,0.11
iotaN[17],0.454,0.235,0.05,0.853
iotaN[18],0.014,0.007,0.004,0.026
iotaN[19],0.861,0.123,0.621,0.993
iotaN[20],0.471,0.128,0.237,0.721
iotaN[21],0.433,0.252,0.048,0.881
iotaN[22],0.756,0.158,0.431,0.973
iotaN[23],0.526,0.168,0.231,0.828
iotaN[24],0.188,0.067,0.072,0.304
iotaN[25],0.132,0.028,0.086,0.186
iotaN[26],0.015,0.007,0.005,0.028
iotaN[27],0.426,0.243,0.036,0.837
iotaN[28],0.443,0.249,0.031,0.86
iotaN[29],0.379,0.239,0.018,0.79
iotaN[30],0.736,0.173,0.403,0.974
iotaN[31],0.152,0.035,0.089,0.221
iotaN[32],0.418,0.247,0.028,0.851
iotaN[33],0.071,0.013,0.046,0.093
iotaN[34],0.852,0.12,0.62,0.995
iotaN[35],0.648,0.178,0.297,0.932
iotaN[36],0.469,0.168,0.139,0.764
iotaN[37],0.362,0.093,0.183,0.524
iotaN[38],0.532,0.204,0.152,0.862
iotaN[39],0.166,0.043,0.096,0.254
iotaN[40],0.122,0.025,0.079,0.174
iotaN[41],0.082,0.015,0.057,0.111
iotaN[42],0.406,0.245,0.023,0.835
iotaN[43],0.681,0.186,0.332,0.965
iotaN[44],0.031,0.026,0.002,0.073
iotaN[45],0.798,0.115,0.589,0.971
iotaN[46],0.664,0.172,0.361,0.942
iotaN[47],0.507,0.146,0.233,0.772
iotaN[48],0.167,0.045,0.092,0.257
iotaN[49],0.434,0.245,0.03,0.856
iotaN[50],0.435,0.233,0.061,0.857
iotaN[51],0.386,0.169,0.113,0.715
iotaN[52],0.707,0.167,0.373,0.952
iotaN[53],0.067,0.014,0.044,0.097
iotaN[54],0.745,0.167,0.438,0.987
iotaN[55],0.214,0.071,0.096,0.348
iotaN[56],0.752,0.158,0.457,0.98
iotaN[57],0.731,0.173,0.391,0.97
iotaN[58],0.442,0.246,0.055,0.859
iotaN[59],0.488,0.159,0.202,0.773
iotaN[60],0.709,0.168,0.369,0.949
iotaN[61],0.106,0.048,0.038,0.205
iotaN[62],0.097,0.021,0.061,0.137
iotaN[63],0.39,0.225,0.027,0.787
iotaN[64],0.734,0.175,0.42,0.981
iotaN[65],0.723,0.178,0.391,0.987
iotaN[66],0.208,0.054,0.116,0.311
iotaP2[0],0.499,0.243,0.061,0.886
iotaP2[1],0.6,0.21,0.224,0.95
iotaP2[2],0.52,0.242,0.124,0.941
iotaP2[3],0.697,0.195,0.341,0.979
iotaP2[4],0.169,0.141,0.011,0.459
iotaP2[5],0.509,0.242,0.094,0.923
iotaP2[6],0.502,0.242,0.103,0.922
iotaP2[7],0.656,0.196,0.299,0.956
iotaP2[8],0.468,0.263,0.036,0.907
iotaP2[9],0.579,0.214,0.208,0.939
iotaP2[10],0.518,0.238,0.116,0.941
iotaP2[11],0.705,0.189,0.36,0.978
iotaP2[12],0.525,0.243,0.139,0.97
iotaP2[13],0.021,0.023,0.001,0.06
iotaP2[14],0.696,0.185,0.356,0.971
iotaP2[15],0.29,0.198,0.014,0.667
iotaP2[16],0.498,0.214,0.126,0.873
iotaP2[17],0.493,0.242,0.086,0.906
iotaP2[18],0.467,0.247,0.073,0.905
iotaP2[19],0.506,0.245,0.101,0.938
iotaP2[20],0.695,0.193,0.331,0.973
iotaP2[21],0.524,0.245,0.121,0.95
iotaP2[22],0.707,0.192,0.353,0.981
iotaP2[23],0.456,0.221,0.08,0.84
iotaP2[24],0.664,0.201,0.285,0.961
iotaP2[25],0.334,0.143,0.08,0.581
iotaP2[26],0.512,0.24,0.113,0.919
iotaP2[27],0.508,0.245,0.124,0.958
iotaP2[28],0.513,0.248,0.095,0.923
iotaP2[29],0.505,0.243,0.098,0.928
iotaP2[30],0.662,0.208,0.281,0.98
iotaP2[31],0.469,0.176,0.196,0.834
iotaP2[32],0.51,0.246,0.087,0.922
iotaP2[33],0.24,0.125,0.045,0.482
iotaP2[34],0.504,0.245,0.109,0.917
iotaP2[35],0.651,0.197,0.297,0.965
iotaP2[36],0.725,0.185,0.362,0.972
iotaP2[37],0.425,0.223,0.062,0.822
iotaP2[38],0.638,0.21,0.238,0.954
iotaP2[39],0.034,0.019,0.008,0.07
iotaP2[40],0.461,0.188,0.107,0.781
iotaP2[41],0.167,0.073,0.055,0.305
iotaP2[42],0.511,0.243,0.101,0.921
iotaP2[43],0.646,0.198,0.293,0.954
iotaP2[44],0.519,0.245,0.08,0.911
iotaP2[45],0.461,0.24,0.071,0.89
iotaP2[46],0.709,0.182,0.372,0.981
iotaP2[47],0.692,0.193,0.329,0.969
iotaP2[48],0.436,0.27,0.012,0.882
iotaP2[49],0.502,0.238,0.072,0.889
iotaP2[50],0.506,0.24,0.081,0.895
iotaP2[51],0.09,0.031,0.04,0.149
iotaP2[52],0.67,0.197,0.279,0.96
iotaP2[53],0.064,0.04,0.011,0.14
iotaP2[54],0.694,0.187,0.33,0.967
iotaP2[55],0.609,0.214,0.211,0.942
iotaP2[56],0.706,0.188,0.364,0.977
iotaP2[57],0.701,0.184,0.369,0.988
iotaP2[58],0.512,0.243,0.124,0.937
iotaP2[59],0.72,0.19,0.354,0.976
iotaP2[60],0.683,0.199,0.315,0.972
iotaP2[61],0.506,0.243,0.119,0.928
iotaP2[62],0.665,0.203,0.294,0.969
iotaP2[63],0.52,0.245,0.134,0.97
iotaP2[64],0.675,0.2,0.286,0.965
iotaP2[65],0.704,0.19,0.357,0.989
iotaP2[66],0.029,0.019,0.006,0.064
iotaN2abs[0],0.447,0.236,0.06,0.865
iotaN2abs[1],0.013,0.014,0.001,0.035
iotaN2abs[2],0.444,0.239,0.058,0.868
iotaN2abs[3],0.351,0.169,0.072,0.67
iotaN2abs[4],0.496,0.23,0.106,0.892
iotaN2abs[5],0.446,0.232,0.028,0.827
iotaN2abs[6],0.448,0.234,0.052,0.848
iotaN2abs[7],0.614,0.195,0.277,0.952
iotaN2abs[8],0.562,0.166,0.236,0.835
iotaN2abs[9],0.09,0.052,0.019,0.187
iotaN2abs[10],0.434,0.241,0.054,0.864
iotaN2abs[11],0.605,0.17,0.313,0.926
iotaN2abs[12],0.48,0.238,0.071,0.873
iotaN2abs[13],0.608,0.2,0.265,0.953
iotaN2abs[14],0.056,0.033,0.011,0.112
iotaN2abs[15],0.285,0.214,0.006,0.684
iotaN2abs[16],0.458,0.22,0.079,0.847
iotaN2abs[17],0.447,0.24,0.035,0.838
iotaN2abs[18],0.405,0.233,0.033,0.818
iotaN2abs[19],0.457,0.24,0.058,0.871
iotaN2abs[20],0.684,0.19,0.337,0.972
iotaN2abs[21],0.427,0.234,0.04,0.843
iotaN2abs[22],0.63,0.202,0.268,0.964
iotaN2abs[23],0.123,0.066,0.028,0.25
iotaN2abs[24],0.314,0.171,0.048,0.625
iotaN2abs[25],0.372,0.184,0.063,0.712
iotaN2abs[26],0.349,0.226,0.01,0.752
iotaN2abs[27],0.451,0.238,0.044,0.849
iotaN2abs[28],0.44,0.241,0.048,0.855
iotaN2abs[29],0.441,0.242,0.047,0.832
iotaN2abs[30],0.538,0.205,0.183,0.912
iotaN2abs[31],0.392,0.204,0.077,0.779
iotaN2abs[32],0.435,0.24,0.062,0.874
iotaN2abs[33],0.655,0.168,0.346,0.922
iotaN2abs[34],0.461,0.241,0.05,0.86
iotaN2abs[35],0.382,0.236,0.031,0.81
iotaN2abs[36],0.645,0.218,0.231,0.961
iotaN2abs[37],0.419,0.231,0.045,0.834
iotaN2abs[38],0.347,0.159,0.086,0.638
iotaN2abs[39],0.709,0.176,0.377,0.973
iotaN2abs[40],0.254,0.094,0.089,0.428
iotaN2abs[41],0.672,0.167,0.352,0.942
iotaN2abs[42],0.451,0.244,0.066,0.882
iotaN2abs[43],0.111,0.046,0.038,0.191
iotaN2abs[44],0.446,0.237,0.067,0.866
iotaN2abs[45],0.468,0.245,0.071,0.89
iotaN2abs[46],0.608,0.22,0.213,0.966
iotaN2abs[47],0.023,0.023,0.001,0.064
iotaN2abs[48],0.711,0.184,0.357,0.97
iotaN2abs[49],0.45,0.242,0.049,0.864
iotaN2abs[50],0.448,0.242,0.071,0.886
iotaN2abs[51],0.026,0.021,0.003,0.064
iotaN2abs[52],0.101,0.048,0.032,0.195
iotaN2abs[53],0.24,0.12,0.048,0.459
iotaN2abs[54],0.653,0.192,0.305,0.965
iotaN2abs[55],0.429,0.232,0.042,0.813
iotaN2abs[56],0.668,0.184,0.318,0.961
iotaN2abs[57],0.606,0.206,0.253,0.963
iotaN2abs[58],0.459,0.246,0.064,0.899
iotaN2abs[59],0.347,0.126,0.119,0.567
iotaN2abs[60],0.128,0.051,0.045,0.217
iotaN2abs[61],0.438,0.244,0.054,0.866
iotaN2abs[62],0.613,0.175,0.309,0.921
iotaN2abs[63],0.437,0.239,0.03,0.841
iotaN2abs[64],0.652,0.195,0.311,0.964
iotaN2abs[65],0.114,0.049,0.036,0.205
iotaN2abs[66],0.235,0.11,0.045,0.435
