,Simulated_α,Recovered_α,Simulated_ί_P,Recovered_ί_P,Simulated_ί_Pabs,Recovered_ί_Pabs,Simulated_ί_N,Recovered_ί_N,Simulated_ί_P2,Recovered_ί_P2,Simulated_ί_N2abs,Recovered_ί_N2abs
52,0.338003038,0.338815968,0.506332638,0.499633074,0.397673353,0.395184307,0.77520345,0.759054726,0.666283767,0.679598708,0.635618486,0.644090563
53,0.204638974,0.204652711,0.114090489,0.116633733,0.524268863,0.524136684,0.347940265,0.350336516,0.524276403,0.32853995,0.353341835,0.553418314
54,0.45268242,0.451584965,0.50714661,0.508723795,0.669906916,0.672629802,0.143610656,0.144272516,0.461495812,0.461761858,0.093588582,0.091055732
55,0.532752679,0.532379255,0.352040966,0.357124222,0.210816316,0.210832489,0.732662463,0.740849671,0.723378651,0.704104095,0.774183279,0.769522995
56,0.38528075,0.385214332,0.33405658,0.337748339,0.581960918,0.583728699,0.427439653,0.431366349,0.577220714,0.568228956,0.601739017,0.595111312
57,0.652855245,0.652702208,0.377264022,0.378879262,0.379119754,0.37988227,0.507722629,0.508841302,0.090746551,0.090852952,0.073938262,0.073973426
58,0.567711515,0.567478079,0.481230566,0.480776834,0.353605476,0.353553824,0.704347387,0.707457405,0.343432253,0.343906994,0.530452291,0.530172386
59,0.032485062,0.032446447,0.698286619,0.51109997,0.620773389,0.487281985,0.743300052,0.475882659,0.743560167,0.471112764,0.753464716,0.505714062
60,0.236884878,0.236677233,0.437733388,0.439565181,0.634935564,0.635030044,0.359941036,0.36203306,0.615006733,0.611232239,0.596009,0.590414086
61,0.352233147,0.347437039,0.049470613,0.065191259,0.750220035,0.773907766,0.695745709,0.799219799,0.604721681,0.239230066,0.878446695,0.98389244
62,0.559242982,0.559692914,0.319438916,0.326551779,0.815539419,0.816116694,0.344300646,0.347027662,0.815932329,0.766245796,0.44977949,0.444163938
63,0.698668651,0.698239748,0.378596364,0.378797562,0.737050348,0.739247477,0.585461226,0.586736538,0.649369966,0.649728299,0.318442914,0.318672809
64,0.654751299,0.654470701,0.160309773,0.164338447,0.461800737,0.463321,0.240400607,0.242774749,0.479503973,0.452529268,0.190659872,0.188844913
65,0.235832601,0.235936127,0.129170032,0.131803794,0.090819348,0.090800602,0.224294758,0.226948552,0.425252884,0.303333428,0.510176266,0.510094603
66,0.575906241,0.575472563,0.619494281,0.621282409,0.599326066,0.600351569,0.643510886,0.645005819,0.201661733,0.20216198,0.218109625,0.218376908
