,Simulated_α,Recovered_α
0,0.10153976128923613,0.10133743022382018
1,0.4697092230533675,0.46986177130624723
2,0.8952237456146758,0.8955440889979772
3,0.05918193575071371,0.05977346389090394
4,0.6086682983758797,0.6091420781541027
5,0.16603033628434163,0.16633347381745983
6,0.8918483415883771,0.891995306986543
7,0.5943968716651028,0.594271436302444
8,0.014657787492343664,0.014354737161796877
9,0.7464180109629741,0.7458314092978648
10,0.3512909398335203,0.3509864924613001
11,0.4080792248979872,0.408182324897114
12,0.21088857030027008,0.210407749823032
13,0.12880314255530437,0.12882253063106866
14,0.6465169181806284,0.6470000426786517
15,0.4996127626763426,0.5000953282381232
16,0.7889489912225639,0.7885290500840791
17,0.3597380551302074,0.35937530251312355
18,0.5360475923337986,0.5358057071139674
19,0.24092217635282412,0.2413020186337132
