,Simulated_α,Recovered_α,Simulated_ί_P,Recovered_ί_P,Simulated_ί_N,Recovered_ί_N,Simulated_ί_Nabs,Recovered_ί_Nabs,Simulated_ί_P2abs,Recovered_ί_P2abs,Simulated_ί_N2,Recovered_ί_N2
0,0.24189805306332146,0.24329908997774974,0.9544448175029117,0.9419376296631932,0.45987070400506064,0.46818433727061876,0.42580189496266474,0.41876355770651863,0.8165075488147228,0.8113947597209537,0.8472905949498762,0.7806565497288953
1,0.7499961717173443,0.7489325746088545,0.7425020754607805,0.74908158096219,0.2381415021934069,0.23874785628650058,0.3149671285533449,0.31532003970452416,0.31506281307023204,0.31587606665567464,0.4763408634886187,0.4753302817581744
2,0.36368216960734956,0.36409370831612586,0.5820175693052376,0.5782422682811221,0.5402043216550781,0.536902767777511,0.8908522802298446,0.8779994526628332,0.7747534917611847,0.7769904302232568,0.37519984604635503,0.3745081952017194
3,0.5061484980760245,0.5055379624650586,0.5062807954359051,0.5063235326160253,0.5648613224891006,0.5647340630054475,0.566108609663005,0.5673666160001734,0.3030977324279146,0.30344366008677576,0.6813826242333446,0.6858713004615503
4,0.7135994753724594,0.7132582035702314,0.29569312982498697,0.2958771809211838,0.6313178133354993,0.6308595191493478,0.2388795302836574,0.23931644316664216,0.7074479723279521,0.7123406096288465,0.20408647126488674,0.20440840648088704
5,0.10478903780115559,0.10482491349268774,0.34819640690696524,0.2301410488545624,0.48832447135910145,0.387884202688433,0.4163923684420402,0.4120232548996487,0.37066550139901716,0.48672955772433874,0.13733703629522992,0.47376070461562475
6,0.07904004133392178,0.07910678872725943,0.6203874182293422,0.15461356789327704,0.8775032740262996,0.5476324792018268,0.1954990201545452,0.15678699643619642,0.5736581607286232,0.4992584835429009,0.23242217365194895,0.47950382652755663
7,0.5555059546594044,0.555042669630247,0.6364910583441302,0.6373004571668767,0.8366994385236967,0.8366553545446621,0.7194136536396838,0.7206943911233294,0.5543614880017287,0.554750418581081,0.46239006652267667,0.46452215183712503
8,0.241679967025727,0.24137081232278046,0.2278046657418686,0.2330387088388724,0.6531863672143292,0.6672844790002066,0.4757865947974784,0.4794265210336621,0.7492745191028023,0.6813329159458555,0.830800290163532,0.7947956155802588
9,0.4639591281503867,0.46369546932962924,0.19828724746011042,0.19918134454256797,0.5776107379700273,0.5790572561027661,0.07819017897615507,0.07861275100178178,0.3728121764760613,0.3701557888368225,0.501950064197001,0.5021126450451732
