ID,trial,stimulus,DV
208,1,MN,4.601510865
208,2,MN,1.739636569
208,3,MN,4.400681747
208,4,MN,4.261199778
208,5,MN,1.756070789
208,1,U,4.381732667
208,2,U,1.739636569
208,3,U,4.283730969
208,4,U,3.793619937
208,5,U,1.824428709
208,1,UM,3.479717783
208,2,UM,1.739636569
208,3,UM,1.349597739
208,4,UM,4.408402685
208,5,UM,1.642665032
208,1,UMS,4.393427708
208,2,UMS,4.741380098
208,3,UMS,4.654872718
208,4,UMS,4.57921676
208,5,UMS,4.4552333945
209,1,UMN,3.855967078
209,2,UMN,4.7901234565
209,3,UMN,4.9341563785
209,4,UMN,4.8497942385
209,5,UMN,4.7510288065
209,1,M,4.691358025
209,2,M,4.70781893
209,3,M,4.864197531
209,4,M,4.818930041
209,5,M,4.868312757
209,1,N,4.666666667
209,2,N,4.691358025
209,3,N,4.666666667
209,4,N,4.757201646
209,5,N,4.757201646
209,1,MN,1.041152263
209,2,MN,1.172839506
209,3,MN,1.205761317
209,4,MN,1.271604938
209,5,MN,1.218106996
209,1,U,2.847736626
209,2,U,1.127572016
209,3,U,1.205761317
209,4,U,1.259259259
209,5,U,1.139917695
209,1,UM,1.259259259
209,2,UM,1.226337449
209,3,UM,1.119341564
209,4,UM,1.275720165
209,5,UM,1.197530864
209,1,UMS,1.316872428
209,2,UMS,1.234567901
209,3,UMS,1.2407407405
209,4,UMS,1.24691358
209,5,UMS,1.24691358
210,1,UMN,4.0061728395
210,2,UMN,4.987654321
210,3,UMN,4.987654321
210,4,UMN,4.989711934500001
210,5,UMN,4.979423868
210,1,M,4.962962963
210,2,M,4.995884774
210,3,M,4.979423868
210,4,M,4.979423868
210,5,M,4.983539095
210,1,N,4.967078189
210,2,N,4.991769547
210,3,N,4.975308642
210,4,N,4.987654321
210,5,N,4.987654321
210,1,MN,1.769547325
210,2,MN,2.991769547
210,3,MN,2.209876543
210,4,MN,1.028806584
210,5,MN,1
210,1,U,3.008230453
210,2,U,1.004115226
210,3,U,1
210,4,U,1
210,5,U,1.016460905
210,1,UM,2.979423868
210,2,UM,1.004115226
210,3,UM,1.012345679
210,4,UM,1.012345679
210,5,UM,1.008230453
210,1,UMS,1.0164609055
210,2,UMS,1.014403292
210,3,UMS,1.0061728395
210,4,UMS,1.014403292
210,5,UMS,1.014403292
211,1,UMN,3.6090536235
211,2,UMN,4.557613263
211,3,UMN,4.946502183
211,4,UMN,4.9753089555
211,5,UMN,4.965020576000001
211,1,M,3.185185185
211,2,M,4.144033047
211,3,M,4.654320862
211,4,M,4.958847988
211,5,M,4.901234442
211,1,N,3.057613232
211,2,N,3.646090723
211,3,N,4.604938272
211,4,N,4.942386706
211,5,N,4.930041529
211,1,MN,3.0740742
211,2,MN,2.329218295
211,3,MN,2.411522822
211,4,MN,1.604938366
211,5,MN,1.086419753
211,1,U,3.08641969
211,2,U,2.613168661
211,3,U,1.683127572
211,4,U,1.316872522
211,5,U,1.152263469
211,1,UM,2.720164797
211,2,UM,2.50617284
211,3,UM,1.851851789
211,4,UM,1.090535074
211,5,UM,1.061728458
211,1,UMS,2.152263359
211,2,UMS,1.111111127
211,3,UMS,1.0061728865
211,4,UMS,1.0102881285
211,5,UMS,1.01234571
212,1,UMN,3.796087797
212,2,UMN,4.667235301
212,3,UMN,4.769589446
212,4,UMN,4.935630615
212,5,UMN,4.792334812
212,1,M,4.90606164
212,2,M,4.869669055
212,3,M,4.701353349
212,4,M,4.769589446
212,5,M,4.792334812
212,1,N,4.655862618
212,2,N,4.610371887
212,3,N,4.769589446
212,4,N,4.769589446
212,5,N,4.792334812
212,1,MN,3.027294439
212,2,MN,4.824178324
212,3,MN,4.769589446
212,4,MN,4.769589446
212,5,MN,4.769589446
212,1,U,4.874218128
212,2,U,4.68770613
212,3,U,4.7604913
212,4,U,4.828727397
212,5,U,4.792334812
212,1,UM,4.846923689
212,2,UM,4.642215399
212,3,UM,4.769589446
212,4,UM,4.828727397
212,5,UM,4.815080177
212,1,UMS,4.815080177
212,2,UMS,3.222904583
212,3,UMS,1.1166837255
212,4,UMS,2.9658819515
212,5,UMS,1.057545775
213,1,UMN,3.781541039
213,2,UMN,4.758508463
213,3,UMN,4.973725502
213,4,UMN,4.961185516
213,5,UMN,4.9798120145
213,1,M,4.99280754
213,2,M,4.967145489
213,3,M,4.973016885
213,4,M,4.991339691
213,5,M,4.97084042
213,1,N,4.984405369
213,2,N,4.962590096
213,3,N,4.974434119
213,4,N,4.990276765
213,5,N,4.97084042
213,1,MN,1.015113784
213,2,MN,1.001346372
